"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
"",,,,,,,S McAllister Ave/ E,
11-5258T,4/1,0012 hrs,4/1 0012 hrs,4/1,0033 hrs,Possession of Drug Paraphernalia,,Cleared By Arrest
"",,,,,,,14th St,
"",,,,,,"Possession of Drug Paraphernalia, Possession of",,
11-5260T,4/1,0034 hrs,4/1 0035 hrs,4/1,0040 hrs,,Palo Verde Main,Cleared By Arrest
"",,,,,,Marijuana,,
"",,,,,,,600 Block of S. Alpha,
11-5263T,4/1,0054 hrs,4/1 0015 hrs,4/1,0054 hrs,"Aggravated Assault, Criminal Trespass",,Pending
"",,,,,,,Dr.,
"",,,,,,,1000 Block of S. Rural,
11-5270T,4/1,0701 hrs,4/1 0701 hrs,4/1,0701 hrs,Property Impound,,Pending
"",,,,,,,Rd,
11-5272T,4/1,0812 hrs,3/31 2200 hrs,4/1,0800 hrs,Criminal Damage,Parking Lot 72,Pending
"",,,,,,"Possession of Drug Paraphernalia, Under 21 in",,
11-5276T,4/1,0955 hrs,4/1 0950 hrs,4/1,1050 hrs,,Vista del Sol,Cleared By Arrest
"",,,,,,Possession of Alcohol,,
"",,,,,,,Undergraduate,
11-5281T,4/1,1132 hrs,4/1 0830 hrs,4/1,1130 hrs,Bicycle Theft,Advisory Services,Pending
"",,,,,,,Building,
"",,,,,,,Student Recreation,
11-5294T,4/1,1726 hrs,4/1 1330 hrs,4/1,1400 hrs,Theft,,Pending
"",,,,,,,Center,
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
11-5322T,4/2,0027 hrs,4/2 0035 hrs,4/2,0035 hrs,Criminal Damage,Parking Structure 1,Cleared By Arrest
"",,,,,,"Possession of Marijuana, Possession of Drug","S McAllister Ave, E",
11-5333T,4/2,0321 hrs,4/2 0321 hrs,4/2,0321 hrs,,,Cleared By Arrest
"",,,,,,Paraphernalia,Apache Blvd,
"",,,,,,,N Rural Rd/ E,
11-5341T,4/2,0900 hrs,4/2 0900 hrs,4/2,0900 hrs,Warrant Arrest,,Cleared By Arrest
"",,,,,,,Broadway Rd,
