"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Sunday, August 01, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-11232T,8/1,0048 hrs,8/1 0040 hrs,8/1,0048  hrs Burglary,Karsten Golf Course,Pending
10-11233T,8/1,0116 hrs,8/1 0048 hrs,8/1,0016 hrs Criminal Damage,Hobbs Varsity Golf Facility,Pending
10-11245T,8/1,0914 hrs,8/1 0914 hrs,8/1,0927 hrs Trespassing,San Pablo,Cleared By Arrest
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Monday, August 02, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-11277E,08/02,0610 hrs,08/02 0610 hrs,08/02,0610 hrs Death Investigation,6000 blk of E Unger AVE,Pending
10-11291T,08/02,1221 hrs,unk unk,08/02,0730 hrs Criminal Damage,Sonora Center,Pending
10-11293T,08/02,1254 hrs,08/02 1115 hrs,08/02,1215 hrs Burglary from Vehicle,Vista Del Sol,Pending
10-11300T,08/02,1544 hrs,07/29 1400 hrs,07/28,1400 hrs Bike Theft,Noble Library,Pending
10-11307T,08/02,1829 hrs,08/02 1500 hrs,08/02,1800 hrs Bike Theft,Bio Design,Pending
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Tuesday, August 03, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-11335T,08/03,0819 hrs,07/29 1700 hrs,08/03,0800 hrs Bike Theft,University Towers,Pending
10-11341T,08/03,1102 hrs,08/03 0730 hrs,08/03,1045 hrs Bike Theft,Lattie Coor,Pending
10-11357T,08/03,1815 hrs,08/03 1415 hrs,08/03,1815 hrs Theft,Bio Design,Pending
10-11370W,08/03,2312 hrs,08/03 2150 hrs,08/03,2200 hrs False Reporting,Community Park,Pending
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Wednesday, August 04, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-11378T,8/04,0515 hrs,8/04 0522 hrs,8/04,0612 hrs Warrant Arrest,Palo Verde West,Cleared By Arrest
10-11372T,8/04,0005 hrs,8/04 0017 hrs,8/04,0035 hrs Displaying improper plate,S Veteran's Way/E 6th st,Cleared By Arrest
10-11383T,8/04,0715 hrs,8/04 0630 hrs,8/04,0715 hrs Theft,Whiteman Tennis Center,Pending
10-11391T,8/04,1239 hrs,8/04 1230 hrs,8/04,1239 hrs Information Report,Student Services Building,Pending
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Thursday, August 05, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-11429T,8/5,0529 hrs,8/5 0520 hrs,8/5,0529 hrs Assault,Noble Library,Pending
10-11435T,8/5,0839 hrs,8/4 1400 hrs,8/5,0839 hrs Theft,Carsen Athletic Center,Pending
10-11449T,8/5,1551 hrs,6/25 unk,8/5,1151 hrs Theft,Psychology,Pending
10-11461T,8/5,2205 hrs,8/5 2205 hrs,8/5,0140 hrs Possession of Dangerous Drugs,E 6th St / E Veterans Way,Cleared by Arrest
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Friday, August 06, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-11493T,8/6,1117 hrs,8/6 0900 hrs,8/6,1117 hrs Theft,Old Main,Pending
10-11500T,8/6,1259 hrs,8/6 1200 hrs,8/6,1259 hrs Criminal Damage,Life Sciences C-Wing,Pending
10-11505T,8/6,1527 hrs,8/6 1527 hrs,8/6,1532 hrs Littering,S Los Gatos Ln / E Pecos Rd,Cleared By Arrest
10-11515T,8/6,1945 hrs,8/6 1945 hrs,8/6,1945 hrs Impound,E Spence Ave / S Rural Rd,Closed
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Saturday, August 07, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-11556T,8/7,0957 hrs,8/7 0957 hrs,8/7,0957 hrs Disorderly Conduct,Tower Apartments,Pending
10-11571W,8/7,2242 hrs,8/7 0650 hrs,8/7,2240  hrs Burglary,Sands Building,Pending
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Wednesday, September 08, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
"",,,,,Criminal Speed//False Info//Driving with Suspended,,
10-11580T,8/8,0228 hrs,8/8 0228 hrs,8/8,0325 hrs,S McClintock/E University,Cleared by Arrest
"",,,,,License // Warrant Arrest,,
"",,,,,,N Scottsdale Rd / E,
10-11593T,8/8,1513 hrs,8/8 1513 hrs,8/8,1513 hrs Warrant Arrest,,Cleared by Arrest
"",,,,,,Mckellips Rd,
10-11600T,8/8,1851 hrs,8/8 1851 hrs,8/8,1851 hrs Warrant Arrest,325 E Apache Blvd,Cleared by Arrest
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Monday, August 09, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-11608T,8/9,0816 hrs,8/9 0816 hrs,8/9,0837 hrs Warrant Arrest,Parking Structure 3,Cleared By Arrest
10-11629T,8/9,1545 hrs,1/20 0700 hrs,1/20,2300 hrs Bicycle Theft,Manzanita Hall,Pending
10-11630T,8/9,1545 hrs,2/5 0700 hrs,2/5,2300 hrs Bicycle Theft,Manzanita Hall,Pending
"",,,,,,Business Administration C,
10-11634T,8/9,1822 hrs,8/9 0800 hrs,8/9,1600 hrs Bicycle Theft,,Pending
"",,,,,,Wing,
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Tuesday, August 10, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-11659T,8/10,0824 hrs,8/10 0753 hrs,8/10,0753 hrs Theft,Memorial Union,Pending
10-11664T,8/10,1032 hrs,8/10 1032 hrs,8/10,1032 hrs Found Property,Cholla Apartments,Pending
10-11666T,8/10,1211 hrs,8/09 1200 hrs,8/09,2000 hrs Theft,Memorial Union,Pending
"",,,,,,E Gammage Pkwy / S Forest,
10-11671T,8/10,1556 hrs,8/10 1550 hrs,8/10,1550 hrs Non Injury Accident,,Closed
"",,,,,,Ave,
10-11673T,8/10,1632 hrs,8/10 1000 hrs,8/10,1632 hrs Theft,Goldwater Center,Pending
"",,,,,,E McKellips Rd / N Hayden,
10-11687T,8/10,2215 hrs,8/10 2215 hrs,8/10,2215 hrs Warrant Arrest,,Cleared by Arrest
"",,,,,,Rd,
"",,,,,,Police Log,,
"",,,,,,Arizona State University Police Department,,
"",,,,,,"Wednesday, August 11, 2010",,
10-11698T,8/11,0636 hrs,8/11,0636 hrs,8/11,0636 hrs Warrant Arrest/Public Consumption,E Apache Blvd /S Rural Rd,Cleared By Arrest
10-11695T,8/11,0249 hrs,8/11,0245 hrs,8/11,0249 hrs Minor in Consumption / Vehicle Impound,S Mill Ave / E 10th St,Cleared By Arrest
10-11709T,8/11,1151 hrs,8/11,0845 hrs,8/11,1151 hrs Theft,Memorial Union,Cleared By Arrest
10-11711T,8/11,1225 hrs,8/10,0800 hrs,8/11,1220 hrs Stolen Bicycle,Hassayampa 1,Pending
"",,,,,,,Classroom Lab Computer,
10-11713W,8/11,1312 hrs,8/11,1215 hrs,8/11,1310 hrs Violation of Court Order,,Pending
"",,,,,,,Classroom,
10-11715T,8/11,1444 hrs,8/11,0830 hrs,8/11,1444 hrs Stolen Bicycle,Bio Design B Wing,Pending
10-11717T,8/11,1527 hrs,8/11,1527 hrs,8/11,1527 hrs Warrant Arrest,Tempe Police Station,Cleared By Arrest
"",,,,,,Driving on Suspended; Warrant Arrest; Under 21 with,N Scottsdale Rd/E Playa Del,
10-11729T,8/11,2330 hrs,8/11,2337 hrs,8/11,0004 hrs,,Cleared By Arrest
"",,,,,,Alcohol in the body,Norte,
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Thursday, August 12, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
"",,,,,Possession of Stolen Property / Possession of,,
10-11737T,8/12,0056 hrs,8/12 0056 hrs,8/12,0509 hrs,Computing Commons,Cleared by Arrest
"",,,,,Dangerous Drugs,,
10-11756T,8/12,1322 hrs,8/12 1317 hrs,8/12,1317 hrs Failure To Provide Care At The Scene of an Accident,Parking Structure 1,Cleared by Arrest
"",,,,,,Global Institute of,
10-11759T,8/12,1443 hrs,8/12 unk,8/12,1443 hrs Bike Theft,,Pending
"",,,,,,Sustainability,
10-11761T,8/12,1519 hrs,8/11 0800 hrs,8/11,1700 hrs Forgery,Parking Structure 1,Pending
10-11762T,8/12,1717 hrs,8/12 1710 hrs,8/12,1717 hrs Sexual Abuse,Parking Structure 4,Pending
10-11765T,8/12,1756 hrs,8/12 0900 hrs,8/12,1745 hrs Stolen Bicycle,Lattie Coor,Pending
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Friday, August 13, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-11796T,8/13,0057 hrs,8/13 0057 hrs,8/13,0330 hrs Super Extreme DUI,University Dr / Dorsey Ln,Cleared by Arrest
10-11807T,8/13,0656 hrs,8/09 Unknown,8/13,0656 hrs Bike Theft,University Services Bldg,Pending
10-11813T,8/13,1111 hrs,7/29 1430 hrs,8/13,1111 hrs Bike Theft,Parking Structure 4,Pending
10-11821T,8/13,1615 hrs,8/13 1555 hrs,8/13,1615 hrs Bike Theft,Tempe Lot 40,Pending
"",,,,,,S Forest Ave / E Gammage,
10-11825T,8/13,1739 hrs,8/13 1720 hrs,8/13,1739 hrs Assault,,Pending
