"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, August 01, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-13059T,8/1,1329 hrs,7/30 0930 hrs,7/30 1600 hrs Bike Theft,Polo Verde West,Pending
11-13064T,8/1,1513 hrs,12/18 1700 hrs,7/31 1200 hrs Bike Theft,Vista Del Sol,Pending
11-13069T,8/1,2014 hrs,8/1 2014 hrs,8/1 2014 hrs DUI/Accident,S Rural Rd/ E Spence,Cleared By Arrest
"",,,,,Ave,
11-13072-,8/1,2117 hrs,8/1 2117 hrs,8/1 2117 hrs Possession Marijuana; Possession Drug Paraphernalia,Vista Del Sol,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, August 02, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-13088T,8/2,0753 hrs,7/27 0600 hrs,8/2 0600 hrs Theft,700 E. Alpha Dr.,Pending
11-13093T,8/2,1030 hrs,8/1 2230 hrs,8/2 1000 hrs Criminal Damage,Vista Del Sol,Pending
11-13101T,8/2,1512 hrs,8/2 1512 hrs,8/2 1514 hrs Lost Key,Armstrong Hall,Closed
11-113116T,8/2,2010 hrs,8/2 1530 hrs,8/2 1840 hrs Bike Theft,Life Sciences-E Wing,Pending
11-13118T,8/2,2041 hrs,8/2 0400 hrs,8/2 2030 hrs Criminal Damage,Music East,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, August 03, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-13161T,8/3,1852 hrs,8/3 1400 hrs,8/3 1852 hrs Bike Theft,Coor Building,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, August 04, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-13184T,8/4,1005 hrs,5/22 1800 hrs,5/24 0600 hrs Criminal Damage,Parking Structure 6,Pending
"",,,,Theft of a Credit Card or Obtaining a Credit Card by,,
11-13189T,8/4,1215 hrs,8/3 1100 hrs,"8/3 1200 hrs Fraud, Theft, Fraudulent Use of a Credit Card-Intent to",Wells Fargo Arena,Pending
"",,,,Defraud,,
11-13197D,8/4,1529 hrs,4/2008 0000 hrs,6/2011 0000 hrs Information Only,500 N. 3rd Street,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, August 05, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,S. Mill Ave. / W.,
11-13246T,8/5,0131 hrs,8/5 0131 hrs,8/5 0338 hrs Warrant Arrest,,Cleared By Arrest
"",,,,,Broadway Rd.,
11-13256T,8/5,0756 hrs,8/5 0758 hrs,"8/5 0810 hrs Loitering on School Property, Littering",College of Design North,Cleared By Arrest
11-13276T,8/5,2113 hrs,8/5 2115 hrs,8/5 2115 hrs Bicycle Parts Theft,Stauffer Building,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, August 06, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-13292T,8/6,0224 hrs,8/6 0224 hrs,8/6 0245 hrs Disorderly Conduct,Chili's,Cleared By Arrest
11-13315T,8/6,1456 hrs,8/6 0000 hrs,8/6 1000 hrs Criminal Damage,The Towers,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, August 07, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,"Driving on Suspended License, Failure to Stop for",S. Rural Rd. / E. Rio,
11-13363T,8/7,0259 hrs,8/7 0259 hrs,8/7 0334 hrs,,Cleared By Arrest
"",,,,Police Officer,Salado Pkwy.,
"",,,,Displaying License Plate Suspended for No Mandatory,S. Sagewood / E.,
11-13382E,8/7,2113 hrs,8/7 2113 hrs,8/7 2113 hrs,,Cleared By Arrest
"",,,,"Insurance, No Proof of Insurance",Williams Field Rd.,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, August 08, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,Student Recreation,
11-13397T,8/8,0624 hrs,8/7 1520 hrs,8/7 1630 hrs Bike Theft,,Pending
"",,,,,Complex,
"",,,,,East Valley Of,
11-13399E,8/8,0729 hrs,8/8 0729 hrs,8/8 0729 hrs Accident With Injury,Technology,Pending
"",,,,,Construction  Area,
11-13403T,8/8,0918 hrs,8/8 0715 hrs,8/8 0715 hrs Information Only,Undergraduate Services,Closed
11-13404T,8/8,1020 hrs,8/5 1330 hrs,8/8 1000 hrs Theft,S Rural Rd/ E 6th St,Pending
11-13419 E,8/8,1718 hrs,8/8 1330 hrs,8/8 1700 hrs Bike Theft,Sutton Hall,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, August 09, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,Intercollegiate Athletics,
11-13459T,8/9,1559 hrs,8/9 1355 hrs,8/9 1400 hrs Theft,,Pending
"",,,,,Building,
11-13462T,8/9,1734 hrs,8/9 0800 hrs,"8/9 1730 hrs 3rd Degree Burglary, Criminal Damage",Lot 59,Pending
"",,,,,University Center,
11-13466W,8/9,1900 hrs,8/9 1400 hrs,8/9 1800 hrs Criminal Damage,,Pending
"",,,,,Building,
11-13467W,8/9,1911 hrs,8/9 1400 hrs,8/9 1800 hrs Criminal Damage,Lot 6,Pending
11-13468W,8/9,1914 hrs,8/9 1400 hrs,8/9 1800 hrs Criminal Damage,Fine Arts Annex,Pending
11-13469T,8/9,1910 hrs,8/8 1430 hrs,8/8 1700 hrs Theft,Sonora Center,Pending
"",,,,"Possession of Drug Paraphernalia, Possession of",E. Broadway Rd. / S.,
11-13477T,8/9,2042 hrs,8/9 2042 hrs,8/9 2247 hrs,,Pending
"",,,,Marijuana,Encanto Dr.,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, August 10, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,E Southern Ave / S,
11-13488T,8/10,0234 hrs,8/10 0234 hrs,8/10 0253 hrs DUI,,Cleared By Arrest
"",,,,,Terrace Rd,
11-13504T,8/10,0949 hrs,8/5 1330 hrs,8/9 1400 hrs Bike Theft,Psychology North,Pending
11-13508T,8/10,1145 hrs,8/10 1145 hrs,8/10 1145 hrs Found Property,Bio-Design A-Wing,Pending
"",,,,,E University Dr / S,
11-13532T,8/10,2137 hrs,8/10 2137 hrs,8/10 2156 hrs Driving on Suspended License,,Cleared By Arrest
"",,,,,College Ave,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, August 11, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,Physical Sciences-H,
11-13537T,8/11,0033 hrs,8/11 0033 hrs,"8/11 0034 hrs Criminal Damage, Warrant Arrest",,Cleared By Arrest
"",,,,,Wing,
11-13553T,8/11,1306 hrs,8/11 1300 hrs,8/11 1311 hrs Bicycle Theft,Memorial Union,Pending
11-13554T,8/11,1336 hrs,8/11 1336 hrs,"8/11 1548 hrs Accident, No Injuries",Lot 40,Closed
"",,,,,S. Mill Ave. / E.,
11-13555T,8/11,1404 hrs,8/11 1404 hrs,"8/11 1444 hrs Accident, No Injuries",,Closed
"",,,,,Gammage Pkwy,
"",,,,,Interdisciplinary Science,
11-13556T,8/11,1407 hrs,8/11 1407 hrs,8/11 1430 hrs Bicycle Theft,and Technology,Pending
"",,,,,Building II,
11-13562T,8/11,1829 hrs,8/11 1715 hrs,8/11 1820 hrs Bicycle Theft,Noble Library,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, August 12, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,"DUI-Alcohol, Unlawful Possession of Alcohol",E. Apache Blvd. / S.,
11-13595T,8/12,0227 hrs,8/12 0220 hrs,8/12 0645 hrs,,Cleared By Arrest
"",,,,Container in Vehicle,Forest Ave.,
11-13611T,8/12,1139 hrs,8/11 1800 hrs,8/12 0930 hrs Bicycle Theft,Hassayampa Phase II,Pending
"",,,,"Displaying Mandatory Insurance Suspended Plates, No",S. Mill Ave. / E. Rio,
11-13637T,8/12,2345 hrs,8/12 2345 hrs,8/13 0420 hrs,,Cleared By Arrest
"",,,,Mandatory Insurance,Salado Pkwy,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, August 13, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-13652T,8/13,0324 hrs,8/12 2130 hrs,8/13 0300 hrs Criminal Damage,GIOS Building,Pending
11-13665T,8/13,0935 hrs,8/13 0935 hrs,8/13 1030 hrs Found Property,Towers,Closed
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, August 14, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,S. Twining St. / E.,
11-13702P,8/14,0019 hrs,8/12 0200 hrs,8/13 2310 hrs Criminal Damage,,Pending
"",,,,,Texas Ave.,
11-13717T,8/14,0509 hrs,8/14 0509 hrs,8/14 0536 hrs Minor in Consumption of Alcohol,Vista Del Sol,Cleared By Arrest
11-13719T,8/14,0636 hrs,8/14 0425 hrs,8/14 0530 hrs 2nd Degree Burglary,Vista Del Sol,Pending
11-13736T,8/14,1225 hrs,8/10 1200 hrs,8/14 1000 hrs Theft,Parking Structure 4,Pending
