"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Friday, August 01, 2014",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
14-55538T,8/1,0830 hrs,8/1,0825 hrs,8/1 0900 hrs Theft,Memorial Union,Pending
14-55634T,8/1,1854 hrs,8/1,1854 hrs,8/1 1952 hrs Robbery,Vista Del Sol,Cleared By Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
14-55757T,8/2,0537 hrs,8/2,0520 hrs,8/2,0537 hrs,Burglary,Goldwater Center,Pending
14-55792T,8/2,1105 hrs,8/2,0800 hrs,8/2,1100 hrs,Bike Theft,Palo Verde West,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Drug Paraphernalia, Possession",,
14-56072T,8/3,2116 hrs,8/3,2100 hrs,8/3,2116 hrs,,Palo Verde W,Pending
"",,,,,,,Marijuana,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
14-56277T,8/4,1522 hrs,8/4,0800 hrs,8/4,1500 hrs,Theft,Art Building,Pending
14-56299W,8/4,1714 hrs,7/30,1700 hrs,8/3,0700 hrs,Burglary,Fletcher Library,Pending
"",,,,,,,,Language and Literature,
14-56329T,8/4,2030 hrs,8/4,1900 hrs,8/4,2030 hrs,Bike Theft,,Pending
"",,,,,,,,Building,
14-56360T,8/4,2225 hrs,8/4,2225 hrs,8/4,2225 hrs,Criminal Trespass,Chilis,Cleared By Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Driving with  a Suspended License, Possession of Drug",,
