"",,,,,,,Police Log,,
"",,,,,,,Arizona State University Police Department,,
"",,,,,,,"Wednesday, August 01, 2018",,
"",,,,,,,Occurred,,
Incident #,Date Reported,,Time Reported,,,From,Thru Description Location,,Disposition
"",,,,,Date,Time,Date Time,,
18-54415T,8/1,,0957 hrs,,7/27,1400 hrs,8/1 0800 hrs Bike Theft Hassayampa,,Pending
N 1st Ave/ W Fillmore 18-54444D,8/1,,1224 hrs,,8/1,1224 hrs,8/1 1224 hrs Driving with a Suspend License,,
"",,,,,,,St,,
"",,,,,,,,,Cleared By Arrest
18-54458W,8/1,,1406 hrs,,7/25,1800 hrs,7/25 1900 hrs Theft Fletcher Library,,Pending
E University Dr / S 18-54557T,8/1,,2325 hrs,,8/1,2325 hrs,8/2 0018 hrs Driving with a Suspend License,,
"",,,,,,,McAllister Ave,,
"",,,,,,,,,Cleared By Arrest
"",,,,,,,Occurred,,,
Incident #,Date Reported,,Time Reported,,,From,Thru Description,Location,,Disposition
"",,,,,Date,Time,Date Time,,,
18-54586T,8/2,,0141 hrs,,8/2,0141 hrs,8/2 0141 hrs Possession of Narcotic Drugs; Possession of Drug PendingParaphernalia; Driving on a Suspended License,S. Rural Rd. / E. Terrace Rd.,,
Possession of Drug Paraphernalia; Shoplifting-18-54708T,8/2,,1636 hrs,,8/2,1636 hrs,8/2 1636 hrs Concealment; Trespassing,Bookstore,,Pending
S. Sossaman Rd. / E. 18-54762P,8/2,,2148 hrs,,8/2,2148 hrs,Excessive Speed in a Residential Area or 8/2 2148 hrs Business District,Old Pecos Rd.,,Cleared by Arrest
"",,,,,,,Occurred,,,,
Incident #,Date Reported,,Time Reported,,,From,Thru Description,,Location,,Disposition
"",,,,,Date,Time,Date Time,,,,
E Broadway Rd/ S 18-55026T,8/3,,2317 hrs,,8/3,2317 hrs,8/4 0150 hrs DUI,,,,
"",,,,,,,,,Forest Ave,,
"",,,,,,,,,,,Cleared By Arrest
"",,,,,,,Occurred,,,,
Incident #,Date Reported,,Time Reported,,,From,Thru Description,,Location,,Disposition
"",,,,,Date,Time,Date Time,,,,
N. Mill Ave. / E. 18-55044T,8/4,,0028 hrs,,8/4,0028 hrs,8/4 0045 hrs Driving in Violation of a License Restriction,,,,
"",,,,,,,,,University Dr.,,
"",,,,,,,,,,,Cleared by Arrest
S. Ash Ave. / W. 5th 18-55046T,8/4,,0031 hrs,,8/4,0031 hrs,8/4 0031 hrs Possession of Drug Paraphernalia,,,,
"",,,,,,,,,St.,,
"",,,,,,,,,,,Cleared by Arrest
N. 3rd St. / E. Garfield 18-55059D,8/4,,0121 hrs,,8/4,0121 hrs,Possession of Marijuana; Possession of Drug 8/4 0231 hrs Paraphernalia,,St.,,Pending
S. Power Rd. / E. 18-55060P,8/4,,0122 hrs,,8/4,0122 hrs,"DUI w/ BAC of .08 or Higher, DUI- Alcohol, Drug, 8/4 0122 hrs Vapor, Combination Thereof",,Verona Ave.,,Cleared by Arrest
18-55106T,8/2,,0940 hrs,,7/26,1322 hrs,7/26 1357 hrs Shoplifting- Concealment,,Bookstore,,Pending
18-55142T,8/2,,0940 hrs,,6/19,1010 hrs,6/19 1203 hrs Shoplifting- Concealment,,Bookstore,,Pending
18-55181T,8/4,,1454 hrs,,8/4,1454 hrs,8/4 1454 hrs Threatening or Intimidating,,Memorial Union,,Pending
N. 5th St. / E. Van 18-55185D,8/4,,1520 hrs,,8/4,1520 hrs,8/4 1520 hrs Driving on a Suspended License,,,,
"",,,,,,,,,Buren St.,,
"",,,,,,,,,,,Cleared by Arrest
S. Rural Rd. / E. 18-55227T,8/4,,2026 hrs,,8/4,2026 hrs,Excessive Speed in a Residential Area or 8/4 2041 hrs Business District,,Broadway Rd.,,Cleared by Arrest
S. Mill Ave. / W. 4th 18-55235T,8/4,,2055 hrs,,8/4,2055 hrs,Possession of Marijuana; Possession of Drug 8/4 2300 hrs Paraphernalia,,St.,,Pending
N. 43rd Ave. / W. 18-55267W,8/4,,2237 hrs,,8/4,2237 hrs,Possession of Marijuana; Possession of Drug 8/4 2237 hrs Paraphernalia,,Windrose Dr.,,Pending
5600 W Thunderbird 18-55284W,8/4,,2337 hrs,,8/4,2337 hrs,"8/4 2337 hrs DUI- Alcohol, Drug, Vapor, Combination Thereof",,,,
"",,,,,,,,,Rd.,,
"",,,,,,,,,,,Pending
"",,,,,,,Occurred,,,,
Incident #,Date Reported,,Time Reported,,,From,Thru Description,,Location,,Disposition
"",,,,,Date,Time,Date Time,,,,
Parking Lot 59 North 18-55308T,8/5,,0209 hrs,,8/5,0209 hrs,"8/5 0209 hrs DUI- Aggravated, While Suspended for DUI",,,,
"",,,,,,,,,East,,
"",,,,,,,,,,,Pending
College Avenue 18-55312T,8/5,,0232 hrs,,8/5,0232 hrs,8/5 0232 hrs Public Nuisance,,,,
"",,,,,,,,,Commons,,
"",,,,,,,,,,,Cleared by Arrest
"",,,,,Occurred,,,,
Incident #,,,,,,,,,
"",Date,Time,,,,,,,
"",Reported,Reported,,From,Thru Description,,Location,,Disposition
"",,,Date,Time,Date Time,,,,
