"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-19204T,12/1,0211 hrs,12/1 0211 hrs,12/1,0223 hrs,DUI,Parking Area 59,Cleared by Arrest
10-19222T,12/1,1629 hrs,11/30 1500 hrs,12/1,1400 hrs,Bicycle Theft,Vista Del Sol I,Pending
10-19224T,12/1,1629 hrs,10/2 0000 hrs,10/3,2359 hrs,Theft of Personal Property,Vista Del Sol I,Pending
10-19239T,12/1,2225 hrs,11/23 1200 hrs,11/29,1200 hrs,Bicycle Theft,Hayden East,Pending
10-19232T,12/1,2019 hrs,12/1 2047 hrs,12/1,2202 hrs,Warrant Arrest,Rosewood,Cleared by Arrest
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-19252T,12/2,0019 hrs,12/2 0019 hrs,12/2,0046 hrs,Impound of License Plate,Parking Structure 4 Closed
10-19254T,12/2,0027 hrs,12/2 0027 hrs,12/2,0149 hrs,Information (Water Damage),Art Building Pending
10-19280T,12/2,0718 hrs,12/2 0330 hrs,12/2,0718 hrs,Bike Theft,Hayden Library Pending
10-19288T,12/2,1020 hrs,11/30 1415 hrs,11/30,1415 hrs,Theft of Personal Property,Memorial Union Pending
10-19291T,12/2,1107 hrs,12/1 0900 hrs,12/1,1500 hrs,Bike Theft,College of Design North Pending
10-19295T,12/2,1215 hrs,12/2 0800 hrs,12/2,1200 hrs,Bike Theft,Irish Hall Pending
10-19306T,12/2,1513 hrs,12/2 1500 hrs,12/2,1500 hrs,Theft,Hassayampa 2 Pending
10-19310T,12/2,1634 hrs,12/1 1530 hrs,12/2,1030 hrs,Bike Theft,Business Administration Pending
10-19312T,12/2,1650 hrs,12/2 1650 hrs,12/2,1705 hrs,Warrant Arrest,6Ct hW Sitn/Vg eterans Way Cleared by Arrest
10-19314T,12/2,1709 hrs,12/2 0850 hrs,12/2,1709 hrs,Vehicle Burglary,Parking Area 59 Pending
10-19315P,12/2,1716 hrs,12/2 1716 hrs,12/2,1843 hrs,Domestic Violence/Disorderly Conduct/Criminal,7200 blk E Volante Ave Cleared by Arrest
