"",,,,,Police Log,
"",,,,,Arizona State University Police Department,
"",,,,,"Monday, December 1, 2014",
"",,,,,Occurred,
"",Date,Time,,,,
Incident #,,,,From,Thru Description,Location Disposition
"",Reported,Reported,,,,
"",,,Date,Time,Date Time,
"",,,,,"Driving on Suspended License, Display",
"",,,,,,S Rural Rd/E University
14-78062T,12/1,0233 hrs,12/1,0233 hrs,"12/1 0233 hrs Suspended Plates, Failure to Produce Financial",Cleared By Arrest
"",,,,,,Dr
"",,,,,"Responsibility, No Current Registration",
"",,,,,,University Center
14-87122D,12/1,0936 hrs,11/25,2200 hrs,"12/1 0740 hrs Theft, Criminal Damage",Pending
"",,,,,,Parking Structure
"",,,,,,University Center
14-87124D,12/1,1007 hrs,11/16,1500 hrs,12/1 0740 hrs Theft,Pending
"",,,,,,Parking Structure
14-87182T,12/1,1457 hrs,11/29,2200 hrs,11/30 0900 hrs Theft,Towers Apartments Pending
14-87196W,12/1,1543 hrs,12/1,1345 hrs,12/1 1430 hrs Theft,University Center Bldg Pending
"",,,,,,Sun Devil Fitness
14-87201T,12/1,1626 hrs,12/1,1400 hrs,12/1 1500 hrs Theft,Pending
"",,,,,,Center
14-87202T,12/1,1634 hrs,12/1,1330 hrs,12/1 1630 hrs Bike Theft,College of Design North Pending
14-87205W,12/1,1648 hrs,12/1,1015 hrs,12/1 1015 hrs Theft,Verde Dining Pending
14-87241W,12/1,2019 hrs,11/25,1430 hrs,11/30 2330 hrs Theft,Casa del Oro Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
14-87370T,12/2,0743 hrs,12/1,0800 hrs,12/1,1700 hrs,Burglary,Parking Structure 1,Pending
"",,,,,,,"Driving on a Suspended License, Failure to Stop",,
14-87375T,12/2,0800 hrs,12/2,0800 hrs,12/2,0800 hrs,"for a Red Light, Failure to Produce Evidence of",E 7th St/ S College Ave,Cleared By Arrest
"",,,,,,,Financial Responsibility,,
14-87392T,12/2,0913 hrs,12/1,1230 hrs,12/2,0900 hrs,Burglary,Language & Literature,Pending
14-87452T,12/2,1243 hrs,12/2,0930 hrs,12/2,1100 hrs,Bike Theft,Physical Sciences H,Pending
14-87474T,12/2,1356 hrs,12/2,1145 hrs,12/2,1145 hrs,Violation of Order of Protection,Parking Lot 16,Pending
14-87483T,12/2,1438 hrs,12/1,1630 hrs,12/1,1730 hrs,Theft,Best Hall,Pending
"",,,,,,,,University Center,
14-87486D,12/2,1451 hrs,12/1,0500 hrs,12/2,1430 hrs,Criminal Damage,,Pending
"",,,,,,,,Garage,
14-87521T,12/2,1700 hrs,11/19,2000 hrs,12/1,1500 hrs,Bike Theft,Palo Verde Main,Pending
14-87528T,12/2,1752 hrs,12/2,0600 hrs,12/2,1730 hrs,Burglary,Parking Structure 6,Pending
"",,,,,Occurred,,,
"",Date,Time,,,,,,
