"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
11-1588T,2/1,1038 hrs,1/29 1000 hrs,1/30,1200 hrs,Criminal Damage,600 blk of S Alpha Dr,Pending
11-1603T,2/1,1614 hrs,2/1 1600 hrs,2/1,1614 hrs,Criminal Damage,Old Main,Pending
11-1604T,2/1,1521 hrs,12/13 0000 hrs,1/22,2359 hrs,Bicycle Theft,Hassayampa Phase II,Pending
"",,,,,,,Engineering Center G-,
11-1607T,2/1,1721 hrs,2/1 1721 hrs,2/1,1853 hrs,Property Impound,,Pending
"",,,,,,,Wing,
11-1612T,2/1,1830 hrs,2/1 0730 hrs,2/1,1600 hrs,Bicycle Theft,Computing Commons,Pending
11-1615T,2/1,1930 hrs,2/1 1640 hrs,2/1,1830 hrs,Bicycle Theft,Barrett Honors College,Pending
"",,,,,,,E Orange Mall/S,
11-1619T,2/1,2018 hrs,1/31 1500 hrs,2/1,0930 hrs,Bicycle Theft,,Pending
"",,,,,,,McAllister Ave,
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
11-1637T,2/2,0232 hrs,2/2 0232 hrs,2/2,0251 hrs,DUI,University Dr / Price Rd,Cleared by Arrest
11-1677T,2/2,2034 hrs,2/2 1030 hrs,2/2,2030 hrs,Bike Theft,Computing Commons,Pending
11-1679T,2/2,2134 hrs,2/1 1700 hrs,2/2,1200 hrs,Bike Theft,Cholla,Pending
11-1670T,2/2,1747 hrs,2/2 1600 hrs,2/2,1747 hrs,Information Only,Hayden Hall,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
"",,,,,,,E Apache Blvd/S,
11-1686T,2/3,0011  hrs,2/3 0011 hrs,2/3,0011 hrs,False Reporting to Law Enforcement,,Cleared By Arrest
"",,,,,,,Dorsey LN,
11-1690T,2/3,0544 hrs,2/1 1100 hrs,2/3,1745 hrs,Criminal Damage,Parking Lot 59,Pending
