"",,,,,,Police Log,,
"",,,,,,Arizona State University Police Department,,
"",,,,,,"Wednesday, February 01, 2012",,
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
"",,,,,,"Possession of Dangerous Drugs, Minor with Alcohol in",,
12-2106T,2/1,0105 hrs,2/1,0103 hrs,2/1,0105 hrs,Parking Structure 4,Pending
"",,,,,,Body,,
"",,,,,,"Possession of Marijuana, Possession of Drug",,
12-2108W,2/1,0203 hrs,2/1,0203 hrs,2/1,0206 hrs,Las Casas Dorms,Pending
"",,,,,,Paraphernalia,,
12-2130T,2/1,1031 hrs,1/31,1715 hrs,2/1,1015 hrs Theft,Memorial Union,Pending
"",,,,,,"Possession of Marijuana, Possession of Drug",,
12-2178T,2/1,2136 hrs,2/1,2130 hrs,2/1,2136 hrs,Adelphi Commons,Pending
"",,,,,,Paraphernalia,,
12-2187T,2/1,2321 hrs,2/1,2321 hrs,2/2,0010 hrs Minor in Consumption of Alcohol,Palo Verde West,Cleared by Arrest
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
12-2195T,2/2,0130 hrs,2/2,0130 hrs,2/2,0149 hrs,Minor in Consumption of Alcohol,Vista Del Sol Cleared by Arrest
12-2202T,2/2,0645 hrs,2/2,0645 hrs,2/2,0710 hrs,Criminal Damage,Parking Lot 16 Pending
12-2203T,2/2,0701 hrs,2/2,0701 hrs,2/2,0744 hrs,Accident with Injuries,Hassayampa Phase II Cleared by Arrest
12-2207T,2/2,0825 hrs,1/31,2100 hrs,2/2,0800 hrs,Bicycle Theft,Palo Verde West Pending
"",,,,,,,,Urban Systems
12-2208T,2/2,1003 hrs,2/1,1530 hrs,2/1,1615 hrs,Bicycle Theft,Pending
"",,,,,,,,Engineering
12-2210T,2/2,1042 hrs,2/2,1042 hrs,2/2,1800 hrs,"2nd Degree Criminal Trespassing, Jaywalking",Vista Del Sol Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",
12-2220T,2/2,1048 hrs,2/2,1250 hrs,2/2,1346 hrs,,Vista Del Sol Pending
"",,,,,,,Paraphernalia,
12-2225P,2/2,1415 hrs,2/2,1100 hrs,2/2,1415 hrs,Taking the Identity of Another,6900 Block of E. Vosler Pending
12-2228T,2/2,1520 hrs,2/2,1520 hrs,2/2,1843 hrs,Criminal Damage,Sonora Center Cleared by Arrest
"",,,,,,,"Possession of Drug Paraphernalia, Minor in Possession",
12-2245T,2/2,2102 hrs,2/2,2105 hrs,2/2,2155 hrs,,Palo Verde East Cleared by Arrest
"",,,,,,,of Alcohol,
12-2246T,2/2,2126 hrs,2/2,2126 hrs,2/2,2208 hrs,Minor in Possession of Alcohol,Hassayampa Phase II Cleared by Arrest
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
12-2261T,2/3,0145 hrs,2/3,0145 hrs,2/3,2133 hrs,Under 21 with Alcohol in Body,Hassayampa Phase 1 Cleared by Arrest
"",,,,,,,"DUI, DUI .08 BAC or Higher, DUI 0.15 BAC or",S Rural Rd / E Lemon
12-2266T,2/3,0220 hrs,2/3,0220 hrs,2/3,0236 hrs,,Cleared by Arrest
"",,,,,,,Higher,St
12-2273T,2/3,0409 hrs,2/3,0409 hrs,2/3,0430 hrs,Aggravated Criminal Damage,Danforth Chapel Pending
12-2281T,2/3,0859 hrs,2/2,2000 hrs,2/2,2030 hrs,Theft,College of Design South Unfounded
12-2289T,2/3,1255 hrs,2/3,1255 hrs,2/3,1255 hrs,Bike Theft,Psychology Building Pending
"",,,,,,,,Campus Childrens
12-2291T,2/3,1347 hrs,2/3,1015 hrs,2/3,1015 hrs,Criminal Damage,Pending
"",,,,,,,,Center
12-2298T,2/3,1825 hrs,2/3,1515 hrs,2/3,1520 hrs,Bike Theft,Coor Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",
12-2307T,2/3,2126 hrs,2/3,2126 hrs,2/3,2140 hrs,,Parking Structure 5 Pending
"",,,,,,,Paraphernalia,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession Of Marijuana, Possession Of Drug",,
12-2318T,2/4,0101 hrs,2/4,0101 hrs,2/4,0101 hrs,,McClintock Hall,Pending
"",,,,,,,Paraphernalia,,
"",,,,,,,"Possession Of Marijuana, Possession Of Drug",,
"",,,,,,,,E Apache Blvd/ S,
12-2325T,2/4,0250 hrs,2/4,0250 hrs,2/4,0250 hrs,"Paraphernalia, Possession Of Cancelled Driver's",,Pending
"",,,,,,,,McAllister Ave,
"",,,,,,,License,,
12-2337T,2/4,1054 hrs,2/3,1400 hrs,2/4,0930 hrs,Bike Theft,Vista Del So,Pending
12-2345T,2/4,1458 hrs,12/12,1700 hrs,1/4,1700 hrs,Theft,San Pablo,Pending
12-2347T,2/4,1535 hrs,2/4,1535 hrs,2/4,1535 hrs,Minor With Alochol In Body,Parking Lot 46,Cleared By Arrest
12-2346T,2/4,1734 hrs,2/3,0000 hrs,2/4,1734 hrs,Theft,Vista Del So,Pending
"",,,,,,,"Possession Of Drug Paraphernalia, Minor With Alcohol",,
12-2368T,2/4,2254 hrs,2/4,2254 hrs,2/4,2254 hrs,"In Body, Unlawful to Sell/Furnish/ Dispose of/Give",McClintock Hall,Cleared By Arrest
"",,,,,,,Liquor To An Underage,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-2375T,2/5,0148 hrs,2/5,0148 hrs,2/5,0221 hrs,Minor in Consumption of Alcohol,Hassayampa Phase I,Cleared by Arrest
"",,,,,,,"DUI-Alcohol, DUI-BAC of .08% or Higher, Lighted",,
"",,,,,,,,W. University Dr. / S.,
12-2379T,2/5,0247 hrs,2/5,0247 hrs,2/5,0315 hrs,"Lamps Required, No Proof of Financial Responsibility,",,Cleared by Arrest
"",,,,,,,,Hardy Dr.,
"",,,,,,,No Current Registration,,
12-2380T,2/5,0252 hrs,2/5,0252 hrs,2/5,0252 hrs,"DUI-Alcohol, DUI-BAC of .08% or Higher",Parking Lot 16,Cleared by Arrest
12-2381T,2/5,0314 hrs,2/5,0314 hrs,2/5,0507 hrs,Unintentional Fire,Vista Del Sol,Pending
12-2382T,2/5,0346 hrs,2/5,0230 hrs,2/5,0300 hrs,Sexual Assault,Hassayampa Phase I,Pending
12-2404T,2/5,2057 hrs,2/5,2057 hrs,2/5,2200 hrs,Minor in Consumption of Alcohol,Sonora Center,Cleared by Arrest
12-2410P,2/5,2238 hrs,2/5,2238 hrs,2/5,2324 hrs,Minor in Consumption of Alcohol,Talon Hall,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-2426T,2/6,0910 hrs,2/6,0910 hrs,2/6,0910 hrs,"Loitering, Criminal Trespass",Noble Library,Cleared By Arrest
12-2430T,2/6,1018 hrs,2/6,1020 hrs,2/6,1020 hrs,Arson Reckless Burn,Palo Verde East,Pending
12-2432T,2/6,1100 hrs,2/3,0800 hrs,2/6,0920 hrs,Criminal Damage,Parking Lot 18,Pending
12-2434T,2/6,1210 hrs,2/3,1700 hrs,2/5,2100 hrs,Bike Theft,Parking Structure 7,Pending
12-2440T,2/6,1324 hrs,2/6,1030 hrs,2/6,1330 hrs,Burglary Structure,Palo Verde East,Pending
12-2441T,2/6,1332 hrs,2/6,1015 hrs,2/6,1300 hrs,Burglary Structure,Palo Verde East,Pending
"",,,,,,,,Urban Systems,
12-2447T,2/6,1522 hrs,2/6,1400 hrs,2/6,1500 hrs,Bike Theft,,Pending
"",,,,,,,,Engineering,
12-2450T,2/6,1708 hrs,2/3,1600 hrs,2/5,1000 hrs,Bike Theft,Palo Verde East,Pending
12-2453T,2/6,1907 hrs,2/6,1330 hrs,2/6,1800 hrs,Bike Theft,Bio Design Institute B,Pending
12-2463T,2/6,2140 hrs,2/6,1700 hrs,2/6,2145 hrs,Bike Theft,Noble Library,Pending
"",,,,,,,"Possession Of Marijuana, Possession Of Drug",E 5th St/ E Veterans,
12-2476T,2/6,2258 hrs,2/6,2258 hrs,2/6,2258 hrs,,,Pending
"",,,,,,,Paraphernalia,Way,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-2511T,2/7,1325 hrs,2/3,1700 hrs,2/6,0700 hrs,Bike Theft,Parking Lot 59 N,Pending
12-2514T,2/7,1347 hrs,2/6,1300 hrs,2/7,0900 hrs,Theft,Goldwater,Pending
12-2523T,2/7,1503 hrs,1/5,0830 hrs,1/5,1330 hrs,Bike Theft,Physical Science A,Pending
12-2528D,2/7,1555 hrs,1/25,1200 hrs,1/25,1200 hrs,ID Theft,Computing Commons,Pending
"",,,,,,,,6200 Block of,
12-2550P,2/7,2046 hrs,2/7,2046 hrs,2/7,2046 hrs,Driving On Suspended License,,Cleared By Arrest
"",,,,,,,,Sagewood,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
12-2558T,2/7,2130 hrs,2/7,2130 hrs,2/7,2130 hrs,,Parking Structure 4,Pending
"",,,,,,,"Paraphernalia,",,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-2579T,2/8,0247 hrs,2/8,0247 hrs,2/8,0247 hrs,Minor Under 21 With Alcohol In Body,Barrett,Cleared By Arrest
"",,,,,,,,Language And,
12-2606T,2/8,1324 hrs,2/8,1130 hrs,2/8,1255 hrs,Bike Theft,,Pending
"",,,,,,,,Literature,
12-2610T,2/8,1439 hrs,1/9,2031 hrs,1/9,2031 hrs,Forgery Fraud,ASU Bookstore,Pending
"",,,,,,,"Failure To Stop On Signal Of A Police Officer,",,
12-2644T,2/8,2145 hrs,2/8,2145 hrs,2/8,2145 hrs,,E 6th St/S Packard Dr,Cleared By Arrest
"",,,,,,,Possession Of Cancelled /Fictitious Driver's License,,
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
"",,,,,,,"Possession of Marijuana, Possession of Drug",1600 Block of S.
12-2657T,2/9,0012 hrs,2/9,0012 hrs,2/9,0200 hrs,,Pending
"",,,,,,,Paraphernalia,McAllister
12-2675T,2/9,0845 hrs,2/9,0730 hrs,2/9,0845 hrs,Theft,Business Administration Cleared by Arrest
12-2682T,2/9,1122 hrs,2/9,0400 hrs,2/9,1100 hrs,Criminal Damage,Hayden Library Pending
12-2688T,2/9,1301 hrs,2/9,0830 hrs,2/9,1130 hrs,Bike Theft,Hayden Library Pending
12-2693T,2/9,1534 hrs,2/4,1000 hrs,2/5,2230 hrs,Bike Theft,Hassayampa Phase 1 Pending
12-2715T,2/9,2001 hrs,2/9,2001 hrs,2/9,2001 hrs,Bike Theft,Lot 52 Pending
"",,,,,,,,6900 Block E Vosler
12-2718P,2/9,2013 hrs,2/9,1030 hrs,2/9,1830 hrs,Criminal Damage,Pending
"",,,,,,,,Circle
