"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
"",,,,,,,S Rural Rd / E Apache,
11-0005T,1/1,0052 hrs,1/1 0052 hrs,1/1,0103 hrs,Driving on a Suspended License,,Cleared by Arrest
"",,,,,,,Blvd,
"",,,,,,,S Rural Rd / E Alameda,
11-0014T,1/1,0204 hrs,1/1 0204 hrs,1/1,0224 hrs,Under 21 with Alcohol in the Body,,Cleared by Arrest
"",,,,,,,Dr,
11-0025T,1/1,0610 hrs,1/1 0610 hrs,1/1,0613 hrs,Information Only,Lot 16,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
11-045E,1/2,1446 hrs,1/1 1400 hrs,1/2,1446 hrs,Information Only / Property Impound,5600 blk S Sagewood,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
11-061T,1/3,0701 hrs,12/30 1700 hrs,1/3,0701 hrs,Burglary,Student Health Center,Pending
11-071T,1/3,1249 hrs,1/3 0800 hrs,1/3,1200 hrs,Bicycle Theft,Bookstore,Pending
11-073T,1/3,1335 hrs,1/2 0300 hrs,1/3,1335 hrs,Bicycle Theft,600 Block S Alpha Dr,Pending
11-077T,1/3,1842 hrs,1/3 1842 hrs,1/3,1909 hrs,Property Impound,Life Sciences E-Wing,Pending
11-079D,1/3,1900 hrs,12/30 1200 hrs,1/3,1900 hrs,Bicycle Theft,Taylor Place,Pending
11-080T,1/3,1931 hrs,1/3 1931 hrs,1/3,1939 hrs,Property Impound,Nelson Fine Arts,Pending
11-083T,1/3,2057 hrs,12/31 1930 hrs,1/1,1330 hrs,Vehicle Burglary,Parking Lot 16,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
"",,,,,,,Physical Sciences A,
11-0105T,1/4,1416 hrs,12/13 2200 hrs,12/13,2215 hrs,Information Report,,Pending
"",,,,,,,wing,
