"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-9974T,7/1,0256 hrs,7/1 0256 hrs,7/1,0302 hrs,Driving on Suspended License,E Spence/S Rural Rd,Cleared by Arrest
10-9975T,7/1,0316 hrs,7/1 0316 hrs,7/1,0316 hrs,Plate Impound,,
"",,,,,,,Scottsdale Rd/ Playa,
"",,,,,,,,Pending
"",,,,,,,Del Norte,
10-9984T,7/1,1542 hrs,6/29 0900 hrs,6/29,1700 hrs,Stolen Bicycle,Memorial Union,Pending
10-9994T,7/1,2007 hrs,7/1 2007 hrs,7/1,2007 hrs,,,
"",,,,,,Driving on Suspended License / Possession of,,
"",,,,,,,210 S Rural Rd,Cleared by Arrest
"",,,,,,Paraphernalia,,
10-9987T,7/1,1653 hrs,7/1 1653 hrs,7/1,1653 hrs,Accident Hit and Run,Lot 72,Pending
10-10000T,7/1,2210 hrs,7/1 1900 hrs,7/1,2200 hrs,Stolen Bicycle,Computing Commons,Pending
10-10006T,7/1,2347 hrs,7/1 0600 hrs,7/1,2347 hrs,Theft of Personal Property,Best Hall,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
"",,,,,,,S McClintock Dr / E,
10-10009T,7/2,0207 hrs,7/2 0207 hrs,7/2,0207 hrs,Driving on a Suspended License,,Cleared by Arrest
"",,,,,,,Hayden Ln,
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-10054T,7/3,0232 hrs,7/3 0232 hrs,7/3,0240 hrs,Warrant Arrest/Impound for Destruction,Lot 16,Cleared by Arrest
10-10055T,7/3,0232 hrs,7/3 0232 hrs,7/3,0250 hrs,Possession of Marijuana/Warrant Arrest,Lot 16,Cleared by Arrest
10-10076T,7/3,2120 hrs,7/3 2120 hrs,7/3,2120 hrs,Impound,1200 Blk S Rural Rd,Closed
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
