"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, July 1, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-11524T,7/1,0839 hrs,6/30 1500 hrs,7/1 0600 hrs Criminal Damage,Lot 72,Pending
11-11530T,7/1,1109 hrs,6/30 1630 hrs,7/1 1100 hrs Criminal Damage,Lot 45,Pending
"",,,,,Ross Blakely Law,
11-11533T,7/1,1301 hrs,7/1 0830 hrs,7/1 1256 hrs Bicycle Theft,,Pending
"",,,,,Library,
11-11534T,7/1,1109 hrs,6/30 1630 hrs,7/1 1100 hrs Criminal Damage,Lot 45,Pending
11-11535E,7/1,1316 hrs,7/1 1316 hrs,"7/1 1316 hrs Accident, No Injuries",ASU PD East,Closed
"",,,,,S. Power Rd. / E.,
11-11540E,7/1,1717 hrs,7/1 1720 hrs,7/1 1720 hrs Property Impounded for Destruction,,Closed
"",,,,,Galveston St.,
11-11548T,7/1,1920 hrs,7/1 1920 hrs,7/1 1920 hrs Driving with Revoked License,1017 E. Apache Blvd.,Cleared By Arrest
11-11549T,7/1,1927 hrs,7/1 1927 hrs,7/1 1930 hrs Public Consumption of Alcohol,Dorsey and Lemon St.,Cleared By Arrest
"",,,,"DUI-Alcohol, DUI-BAC above .08, DUI-BAC above",,
11-11576T,7/1,2307 hrs,7/1 2307 hrs,7/1 2320 hrs,6th St. / Mill Ave,Cleared By Arrest
"",,,,.15,,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, July 02, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-11584T,7/2,0101 hrs,7/2 0107 hrs,7/2 0120 hrs Under 21 with Alcohol in Body,Vista Del Sol,Cleared By Arrest
"",,,,"Open Container of Alcohol in Vehicle, No Driver",,
11-11585T,7/2,0104 hrs,7/2 0104 hrs,7/2 0115 hrs,S. Mill Ave. / E. 7th St.,Cleared By Arrest
"",,,,License,,
11-11589T,7/2,0147 hrs,7/2 0147 hrs,7/2 0150 hrs 1st Degree Trespass,Vista Del Sol,Cleared By Arrest
"",,,,"DUI-Alcohol, DUI-Slightest Degree, DUI-BAC over",,
11-11590T,7/2,0150 hrs,7/2 0150 hrs,7/2 0350 hrs,955 E. University Dr.,Cleared By Arrest
"",,,,.08. Driving in Bike Lane,,
"",,,,"DUI- Alcohol, Underage DUI,  DUI-Aggravated-DUI",,
"",,,,,E. Lemon St. / S. Rural,
11-11596T,7/2,0303 hrs,7/2 0303 hrs,"7/2 0555 hrs with Passenger Under 15, Under 21 with Alcohol in",,Cleared By Arrest
"",,,,,Rd.,
"",,,,Body,,
11-11604T,7/2,0731 hrs,6/30 0800 hrs,7/2 0500 hrs Vehicle Theft,Parking Structure 4,Pending
11-11608E,7/2,1334 hrs,7/2 1335 hrs,7/2 1340 hrs Theft,6625 S. Power Rd.,Pending
11-11628T,7/2,2358 hrs,7/2 2358 hrs,7/3 0030 hrs Property Impounded for Destruction,Cereus Hall,Closed
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, July 03, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-11631T,7/3,0120 hrs,7/3 0120 hrs,7/3 0120 hrs Warrant Arrest,Manzanita Hall,Cleared By Arrest
11-11641T,7/3,0336 hrs,7/3 0336 hrs,7/3 0336 hrs Possession of Drug Paraphernalia,Secret Garden,Cleared By Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, July 04, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,S. Rural Rd. / E.,
11-11687T,7/4,2045 hrs,7/4 2045 hrs,7/4 2119 hrs Open Alcohol Container in Vehicle,,Cleared By Arrest
"",,,,,University Dr.,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, July 05, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,E. Apache Blvd. / S.,
11-11700T,7/5,0102 hrs,7/5 0102 hrs,7/5 0225 hrs Information Only,,Closed
"",,,,,McAllister Ave.,
"",,,,,S. Maple Ave. / W. 5th,
11-11708T,7/5,0338 hrs,7/5 0338 hrs,7/5 0348 hrs Property Impounded for Safekeeping,,Closed
"",,,,,St.,
11-11768E,7/5,2140 hrs,7/5 2140 hrs,"7/6 0014 hrs Accident, No Injuries",6929 E. Urbana Ave.,Closed
11-11769T,7/5,2040 hrs,7/5 2040 hrs,7/5 2251 hrs Domestic Fight,Palo Verde West,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, July 06, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-11789T,7/6,0931 hrs,7/5 2100 hrs,7/6 0900 hrs Theft,Willow Hall,Pending
11-11800T,7/6,1514 hrs,7/6 1514 hrs,7/6 1541 hrs Bicycle Theft,Life Sciences-C Wing,Pending
"",,,,,Vista Del Sol Parking,
11-11804T,7/6,1646 hrs,7/5 2100 hrs,7/6 1600 hrs 3rd Degree Burglary,,Pending
"",,,,,Structure,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, July 07, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-11845T,7/7,0855 hrs,6/27 1500 hrs,7/4 1500 hrs Criminal Damage,Lot 59,Pending
"",,,,,Physical Sciences-F,
11-11851T,7/7,1006 hrs,7/7 0815 hrs,7/7 1000 hrs Bicycle Theft,,Pending
"",,,,,Wing,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, July 08, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-11909E,7/8,1114 hrs,7/7 1800 hrs,7/8 0500 hrs Criminal Damage,6220 S. Avery,Pending
11-11914T,7/8,1206 hrs,7/8 1020 hrs,7/8 1120 hrs Theft,McClintock Hall,Pending
11-11920T,7/8,1612 hrs,7/2 1030 hrs,7/2 1130 hrs Theft,Vista Del Sol,Pending
"",,,,"Assault, Criminal Damage, Possession of Narcotic",,
11-11943T,7/8,2327 hrs,7/8 2230 hrs,7/8 2300 hrs,Hassayampa Phase II,Pending
"",,,,"Drugs, Domestic Violence",,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, July 09, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-11958T,7/9,0515 hrs,7/9 0515 hrs,7/9 0537 hrs Minor in Consumption of Alcohol,Vista Del Sol,Cleared By Arrest
11-11984T,7/9,1803 hrs,7/9 1800 hrs,7/9 1800 hrs Threatening or Intimidating,Chili's,Cleared By Arrest
11-11986T,7/9,1803 hrs,7/9 1800 hrs,7/9 1800 hrs Criminal Damage,Chili's,Cleared By Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, July 10, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-12039T,7/10,2349 hrs,7/10 2340 hrs,7/10 2350 hrs Disorderly Conduct,Vista Del Sol,Cleared By Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, July 11, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-12050T,7/11,0801 hrs,7/9 0400 hrs,7/10 1900 hrs Theft,Wells Fargo Arena,Pending
11-12051T,7/11,0906 hrs,7/11 0855 hrs,7/11 0905 hrs Criminal Damage,Lot 19,Pending
11-12060W,7/11,1414 hrs,3/1 0000 hrs,7/6 1200 hrs 2nd Degree Burglary,Las Casas,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, July 12, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,N Scottsdale Rd/ E,
11-12082W,7/12,0044 hrs,7/12 0044 hrs,7/12 0044 hrs Driving While Suspended,,Cleared By Arrest
"",,,,,Playa El Norte Dr,
11-12088T,7/12,0527 hrs,7/12 0527 hrs,7/12 0527 hrs Warrant Arrest,Tempe Lot 45,Cleared By Arrest
11-12095D,7/12,0903 hrs,7/12 0903 hrs,7/12 0915 hrs Theft,E 1st Ave/S Fillmore St,Pending
"",,,,,Urban System,
11-12105,7/12,1615 hrs,7/12 1300 hrs,7/12 1500 hrs Bike Theft,,Pending
"",,,,,Engineering,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, July 13, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,,,,Vista Del Sol Parking,
11-12149T,7/13,1422 hrs,7/12,2200 hrs,7/13,0915 hrs,Criminal Damage,,Pending
"",,,,,,,,Structure,
11-12151T,7/13,1540 hrs,7/12,0000 hrs,7/13,1200 hrs,3rd Degree Burglary,Psychology North,Pending
"",,,,,,,,E. 8th St. / S.,
11-12165T,7/13,2116 hrs,7/13,2116 hrs,7/13,2158 hrs,"Driving with Suspended License, No Proof of Insurance",,Cleared By Arrest
"",,,,,,,,McClintock Dr.,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, July 14, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-12175T,7/14,0020 hrs,7/14 0020 hrs,7/14 0024 hrs Possession of Marijuana,Cereus Hall,Pending
"",,,,"Driving with a Suspended License, Underage Drinking",S. Sunset Dr. / E.,
11-12179T,7/14,0114 hrs,7/14 0114 hrs,7/14 0134 hrs,,Cleared By Arrest
"",,,,"and Driving, Minor in Consumption of Alcohol",Apache Blvd,
"",,,,"Reckless Driving, Failure to Stop upon Striking",Vista Del Sol Parking,
