"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, June 01, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,E Terrace Rd / S Rural,
11-9872T,6/1,0143 hrs,6/1 0143 hrs,"6/1 0154 hrs Driving Under the Influence, Fugitive From Justice",,Pending
"",,,,,Rd,
11-9893T,6/1,1447 hrs,5/31 1700 hrs,6/1 0800 hrs Bike Theft,SRC,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, June 02, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,E. Terrace Rd. / S.,
11-9924T,6/2,0109 hrs,6/2 0109 hrs,6/2 0128 hrs DUI,,Cleared By Arrest
"",,,,,Rural Rd.,
"",,,,,Business Administration,
11-9942T,6/2,1038 hrs,5/13 0730 hrs,5/31 0800 hrs Theft,,Pending
"",,,,,Building,
11-9950T,6/2,1528 hrs,6/2 1100 hrs,6/2 1530 hrs Bicycle Theft,Music Building,Pending
11-9959T,6/2,1813 hrs,6/1 0800 hrs,6/2 1800 hrs Bicycle Theft,Bio Design B-Wing,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, June 03, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,"Driving withou a license, improper lane change, failure",S Rural Rd / E Spence,
11-9999T,6/3,0412 hrs,6/3 0412 hrs,6/3 0451 hrs,,Cleared By Arrest
"",,,,to dim lights,Ave,
11-10007T,6/3,0929hrs,6/3 0929 hrs,6/3 0929 hrs Found Property,Palo Verde Main,Closed
11-10009T,6/3,0944 hrs,5/23 1700 hrs,6/2 1200 hrs Burglary of non-residential structure,College of Design,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, June 04, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,"Driving Under the Influence w/BAC of .15 or higher,",,
"",,,,,S Jentilly Ln / E Spence,
11-10045T,6/4,0110 hrs,6/4 0110 hrs,"6/4 0414 hrs DUI w/BAC of .08 or higher, DUI Alcohol, Drug",,Cleared By Arrest
"",,,,,Ave,
"",,,,"Vapor, or Combination thereof",,
11-10049T,6/4,0215 hrs,6/4 0215 hrs,6/4 0235 hrs Warrant Arrest,Lot 16,Cleared By Arrest
11-10051T,6/4,0254 hrs,6/4 0254 hrs,6/4 0330 hrs Assault,Vista del Sol,Cleared By Arrest
"",,,,"Driving on Suspended License, Knowingly Possessing",S Rural Rd / E Lemon,
11-10058T,6/4,0735 hrs,6/4 0735 hrs,6/4 0749 hrs,,Cleared By Arrest
"",,,,"Suspended License, No Current Registration",St,
"",,,,,S Rural Rd / E Geneva,
11-10069T,6/4,1712 hrs,6/4 1712 hrs,6/4 1715 hrs Driving on Suspended License,,Cleared By Arrest
"",,,,,Dr,
11-10073T,6/4,1817 hrs,6/2 1400 hrs,6/4 1500 hrs Motor Vehicle Theft,Vista del Sol,Pending
11-10076T,6/4,2014 hrs,6/4 2014 hrs,6/4 2014 hrs Criminal Damage,Secret Garden,Cleared By Arrest
11-10077E,6/4,2021 hrs,6/4 2021 hrs,6/4 2021 hrs Property Impounded for Destruction,S Amulet / E Trent Ave,Closed
11-10085T,6/4,2303 hrs,6/4 2303 hrs,6/4 2330 hrs Warrant Arrest,800 Block S Mill Ave,Cleared By Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, June 05, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-10096T,6/5,0300 hrs,6/5 0300 hrs,6/5 0306 hrs False Reporting to Law Enforcement,S. Mill Ave / E. 13th St.,Cleared By Arrest
11-10112T,6/5,1435 hrs,6/5 1435 hrs,6/5 1435 hrs Accident with Injuries,200 S. Packard Dr.,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, June 06, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-10128T,6/6,0107 hrs,6/6 0107 hrs,6/6 0107 hrs Property Impounded for Destruction,Parking Structure 4,Closed
11-10150T,6/6,1358 hrs,6/6 0500 hrs,6/6 1300 hrs Bicycle Theft,Rosewood Hall,Pending
11-10159T,6/6,1458 hrs,6/3 1600 hrs,6/6 0630 hrs Criminal Damage,Parking Structure 4,Pending
"",,,,,University Services,
11-10173T,6/6,1908 hrs,6/3 1200 hrs,6/3 1930 hrs Bicycle Theft,,Pending
"",,,,,Building,
11-10175T,6/6,2006 hrs,6/3 1700 hrs,6/6 1700 hrs Criminal Damage,609 S. Alpha Dr.,Pending
"",,,,"Possession of Marijuana, Possession of Drug",N. Scottsdale Rd. / E.,
11-10180 T,6/6,2144 hrs,6/6 2144 hrs,6/6 2144 hrs,,Pending
"",,,,Paraphernalia,Playa Del Norte Dr.,
11-10200T,6/6,2006 hrs,6/3 1700 hrs,6/6 1700 hrs 3rd Degree Burglary,609 S. Alpha Dr.,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, June 07, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,Engineering Center-G,
11-10208T,6/7,0906 hrs,6/1 1230 hrs,6/7 0800 hrs Theft,,Pending
"",,,,,Wing,
"",,,,,Student Recreation,
11-10221T,6/7,1445 hrs,6/7 1445 hrs,6/7 1445 hrs Loitering,,Cleared By Arrest
"",,,,,Complex,
"",,,,,S. Mill Ave. / E.,
11-10235T,6/7,2103 hrs,6/7 2103 hrs,6/7 2108 hrs Driving on Suspended License,,Cleared By Arrest
"",,,,,University Dr.,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, June 08, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-10257T,6/8,0805 hrs,6/7 0730 hrs,6/7 1500 hrs Theft,Parking Lot 3,Pending
"",,,,"Theft, Theft of a Credit Card or Obtaining Credit Card",,
11-10259T,6/8,0907 hrs,6/7 1215 hrs,6/7 1245 hrs,Memorial Union,Pending
"",,,,by Fraud,,
11-10261T,6/8,0934 hrs,6/8 0934 hrs,6/8 0934 hrs Property Impounded for Safekeeping,Bookstore,Closed
"",,,,,Physical Education,
11-10263T,6/8,1033 hrs,6/8 1235 hrs,6/8 1235 hrs Property Impounded for Safekeeping,,Closed
"",,,,,West,
11-10268T,6/8,1134 hrs,5/27 1700 hrs,6/1 0800 hrs 3rd Degree Burglary,Noble Library,Pending
11-10278T,6/8,1751 hrs,6/8 1300 hrs,6/8 1400 hrs Theft,Physical Education East,Pending
11-10279T,6/8,1759 hrs,6/8 1759 hrs,"6/8 1759 hrs Accident, No Injuries",Parking Structure 4,Closed
"",,,,,E. Apache Blvd. / S.,
11-10296T,6/8,2156 hrs,6/8 2156 hrs,6/8 2213 hrs Driving on Suspended License,,Cleared By Arrest
"",,,,,Sunset Dr.,
11-10299T,6/8,2252 hrs,6/8 1830 hrs,6/8 2030 hrs Failure to Notify on Striking an Unattended Vehicle,Parking Structure 1,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, June 09, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-10320T,6/9,0803 hrs,5/1 0800 hrs,6/8 1400 hrs Criminal Damage,Lattie Coor Hall,Pending
11-10330T,6/9,1530 hrs,5/17 1900 hrs,6/9 1500 hrs Theft,Noble Library,Pending
"",,,,,W. Thunderbird Rd. /,
11-10349D,6/9,2123 hrs,6/9 2123 hrs,6/9 2123 hrs Minor in Consumption,,Cleared By Arrest
"",,,,,N. 45th Ave.,
11-10356T,6/9,2248 hrs,6/8 2230 hrs,6/9 2230 hrs Criminal Damage,Murdock Hall,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, June 10, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-10375T,6/10,0718 hrs,6/9 2200 hrs,6/10 0630 hrs Criminal Damage,777 S. College Ave.,Pending
11-10379T,6/10,1117 hrs,6/7 1300 hrs,6/10 1030 hrs Criminal Damage,Schwada Building,Pending
"",,,,11/201,,
11-10385W,6/10,1329 hrs,3/2004 0600 hrs,2300 hrs Identity Theft,Las Casas,Pending
"",,,,0,,
"",,,,"Possession of Marijuana, Possession of Drug",S. Rural Rd. / E.,
11-10409T,6/10,2215 hrs,6/10 2215 hrs,6/10 2215 hrs,,Pending
"",,,,Paraphernalia,University Dr.,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, June 11, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-10424T,6/11,0145 hrs,6/11 0145 hrs,6/11 0147 hrs Minor in Consumption of Alcohol,Vista Del Sol,Cleared By Arrest
11-10425T,6/11,0147 hrs,6/11 0147 hrs,6/11 0342 hrs Possession of Dangerous Drugs,1034 S. Mill Ave.,Closed
"",,,,"DUI-Alcohol, Drug, Vapor, or Combination Thereof;",,
"",,,,DUI with BAC of .08 or Higher; DUI-Extreme with,,
11-10426T,6/11,0151 hrs,6/11 0151 hrs,6/11 0151 hrs BAC of .15 but Less Than .20; DUI-Super Extreme,Lot 59,Pending
"",,,,with BAC of .20 or Higher; Under 21 Years of Age to,,
"",,,,Drive/ Be in Physical Control of Vehicle,,
"",,,,"Impersonating a Police Officer, First Degree Criminal",,
11-10435T,6/11,0300 hrs,6/11 0300 hrs,6/11 0310 hrs,Barrett Hall,Pending
"",,,,Trespass,,
11-10459T,6/11,1503 hrs,6/11 1503 hrs,6/11 1545 hrs Property Impounded for Destruction,Memorial Union,Closed
"",,,,,E. Apache Blvd. / S.,
11-10475T,6/11,2135 hrs,6/11 2135 hrs,6/11 2140 hrs Loitering; Public Nuisance,,Cleared By Arrest
"",,,,,McAllister Ave.,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
