"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, March 01, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-3299T,3/1,0018 hrs,3/1 0018 hrs,3/1 0018 hrs Information Only,Parking Structure 5,Pending
11-3308T,3/1,0911 hrs,3/1 0911 hrs,3/1 0911hrs Non-Injury Accident,S Mill Ave / E 10th St,Pending
11-3334T,3/1,1711 hrs,3/1 1650 hrs,3/1 1700 hrs Theft,,
"",,,,,Student Recreational,
"",,,,,,Pending
"",,,,,Center Track,
11-3335T,3/1,1725 hrs,2/25 1900 hrs,3/1 1700 hrs Criminal Damage,,
"",,,,,Schwada Classroom,
"",,,,,,Pending
"",,,,,Office Building,
11-3342T,3/1,1925 hrs,3/1 1945 hrs,3/1 1945 hrs Possession of Drug Paraphernalia,Agave Hall,Cleared By Arrest
11-3359W,3/1,2322 hrs,3/1 2000 hrs,3/1 2300 hrs Vehicle Burglary,Community Park,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, March 02, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,"Possession of Marijuana, Possession of Drug",,
11-3362T,03/02,0043 hrs,03/02 0043 hrs,03/02 0043 hrs,Sonora Center,Cleared By Arrest
"",,,,"Parahernalia, Theft of Credit Card",,
11-3366T,03/02,0336 hrs,03/02 0336 hrs,03/02 0353 hrs Display Suspended Drivers License,Palo Verde East,Cleared By Arrest
11-3370T,03/02,1014 hrs,02/25 1200 hrs,02/28 0930 hrs Bike Theft,Noble Library,Pending
"",,,,,Physical Education,
11-3371T,03/02,1015 hrs,03/01 1500 hrs,03/02 0730 hrs Burglary,,Pending
"",,,,,West,
11-3375T,03/02,1125 hrs,03/01 1200 hrs,03/02 1125 hrs Bike Theft,Computing Commons,Pending
11-3381T,03/02,1310 hrs,02/01 0000 hrs,03/02 1310 hrs Theft,ASU Salvage,Pending
"",,,,,Physical Science H,
11-3389T,03/02,1607 hrs,03/02 1255 hrs,03/02 1445 hrs Bike Theft,,Pending
"",,,,,wing,
"",,,,,6000 Block of S.,
11-3399E,03/02,1957 hrs,03/02 1945 hrs,03/02 2115 hrs Information Only,,Closed
"",,,,,Sagewood,
"",,,,,E Apache Blvd/ S Rural,
11-3400T,03/02,2002 hrs,03/02 2002 hrs,03/02 2002 hrs Property Impound for Destruction,,Closed
"",,,,,Rd,
"",,,,,Student Recreation,
11-3401T,03/02,2015 hrs,03/02 2000 hrs,03/02 2015 hrs Theft,,Pending
"",,,,,Center,
11-3417T,03/02,2327 hrs,03/02 2327 hrs,03/03 0000 hrs Under 21 w/ Alcohol in the Body,Hassayampa Phase 1,Cleared By Arrest
11-3420T,03/02,2327 hrs,03/02 2327 hrs,03/03 0000 hrs Under 21 w/ Alcohol in the Body,Hassayampa Phase 1,Cleared By Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, March 03, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,S Alpha Dr/ E,
11-3422T,03/03,0018 hrs,03/03 0018 hrs,03/03 0018 hrs Property Impound,,Closed
"",,,,,University Dr.,
"",,,,,S Rural Rd./ E Lemon,
11-3427T,03/03,0217 hrs,03/03 0217 hrs,"03/03 0217 hrs Possession of Drug Paraphernalia, Warrant Arrest",,Cleared By Arrest
"",,,,,St.,
11-3432T,03/03,0931 hrs,02/28 0000 hrs,03/03 0931 hrs Criminal Damage,ASU Salvage,Pending
11-3433E,03/03,0924 hrs,03/03 0924 hrs,03/03 0924 hrs Property Impound,Student Union,Closed
11-3440T,03/03,1215 hrs,02/28 1830 hrs,03/03 1215 hrs Theft,Parking Lot 59,Pending
"",,,,,School of Human,
11-3450T,03/03,1419 hrs,03/03 1100 hrs,03/03 1230 hrs Theft,Evolution and Social,Pending
"",,,,,Change,
11-3451T,03/03,1451 hrs,03/02 0000 hrs,"03/02 1418 hrs Accident, Non-Injury",Sonora Center,Pending
"",,,,,S Forest Ave/ E,
11-3460T,03/03,1800 hrs,03/03 1800 hrs,"03/03 1800 hrs Accident, Injury",,Pending
"",,,,,University Dr,
"",,,,,Community Services,
11-3463T,03/03,1826 hrs,02/20 0000 hrs,02/20 0000 hrs Indecent Exposure,,Pending
"",,,,,Building,
11-3464T,03/03,1839 hrs,03/02 1700 hrs,03/03 0715 hrs Bicycle Theft,Rosewood Hall,Pending
11-3480T,03/03,2224 hrs,03/03 2220 hrs,03/03 2220 hrs Armed Robbery,Parking Structure 4,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, March 04, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,E Lemon St/ S,
11-3499T,03/04,0304 hrs,03/04 0304 hrs,03/04 0319 hrs Interfere w/ Traffic Control Device,,Cleared By Arrest
"",,,,,McAllister Ave,
11-3503T,03/04,0624 hrs,03/03 1900 hrs,03/04 0615 hrs Criminal Damage,Karsten Golf Course,Pending
11-3505T,03/04,0827 hrs,03/03 2300 hrs,03/04 0300 hrs Criminal Damage,Adelphi Commons,Pending
11-3518T,03/04,1149 hrs,03/04 1150 hrs,03/04 1300 hrs Accident Non-Injury,Parking Lot 57,Closed
"",,,,,University Center,
11-3531W,03/04,1320 hrs,03/04 1320 hrs,03/04 1323 hrs Harassment Stalking,,Pending
"",,,,,Building,
"",,,,,Rural/ University Light,
11-3542T,03/04,1900 hrs,03/04 1900 hrs,03/04 1900 hrs Information Only,,Pending
"",,,,,Rail Station,
"",,,,"Possession of Marijuana, Possession of Drug",,
11-3554T,03/04,2300 hrs,03/04 2330 hrs,"03/04 2330 hrs Paraphernalia, Under 21 in Possession of Alcohol,",Hassayampa Phase 2,Cleared By Arrest
"",,,,Possession of Cancelled/ Fictitious Driver's License,,
"",,,,"Under 21 w/ Alcohol in Body, Under 21 in Possession",,
11-3555T,03/04,2338 hrs,03/04 2338 hrs,03/05 0005 hrs,Sonora Center,Cleared By Arrest
"",,,,of Alcohol,,
"",,,,,7000 Block of E Vosler,
11-3589E,03/04,2143 hrs,03/04 2143 hrs,03/04 2143 hrs Information Only,,Pending
"",,,,,Cir,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, March 05, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,"Under 21 w/ Alcohol in Body, Under 21 in Possession",,
11-3561T,03/05,0131 hrs,03/05 0131 hrs,03/05 0131 hrs,Parking Lot 59,Cleared By Arrest
"",,,,of Alcohol,,
11-3575T,03/05,0413 hrs,03/05 0413 hrs,03/05 0425 hrs Under 21 w/ Alcohol in Body,San Pablo,Cleared By Arrest
11-3577T,03/05,0448 hrs,03/05 0448 hrs,"03/05 0448 hrs Threatening/Intimidating, Warrant Arrest",San Pablo,Cleared By Arrest
11-3581T,03/05,0737 hrs,03/05 0730 hrs,03/05 1109 hrs Possession of Dangerous Drugs,San Pablo,Cleared By Arrest
11-3584T,03/05,0906 hrs,03/01 1700 hrs,03/04 2000 hrs Criminal Damage,Parking Lot 59,Pending
11-3587T,03/05,1054 hrs,03/04 1054 hrs,03/04 1054 hrs Information Only,ASU Book Store,Closed
11-3595T,03/05,1519 hrs,03/05 0230 hrs,03/05 0240 hrs Theft,Hayden Library,Pending
11-3596T,03/05,1543 hrs,03/05 1550 hrs,03/05 1550 hrs Theft,Vista del Sol,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, March 06, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-3623T,3/6,0054 hrs,3/4 1600 hrs,3/6 0054 hrs Larceny Theft,Vista del Sol,Pending
11-3625T,3/6,0120 hrs,3/4 1255 hrs,3/4 1315 hrs Bicycle Theft,Vista del Sol,Pending
11-3657T,3/6,1643 hrs,3/2 1600 hrs,3/6 1500 hrs Criminal Damage,Vista del Sol,Pending
"",,,,,5800 Block of S,
11-3658E,3/6,1749 hrs,3/5 1800 hrs,3/6 1730 hrs Burglary - Structure,,Pending
"",,,,,Twining,
11-3669T,3/6,2107 hrs,3/6 1200 hrs,3/6 2115 hrs Criminal Damage,Neeb Hall,Pending
"",,,,,Cronkite School of,
11-3672D,3/6,2224 hrs,1/18 0000 hrs,3/2 1900 hrs Information Report - No Offense,,Pending
"",,,,,Journalism,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, March 07, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,N Rural Rd / E Apache,
11-3678T,3/7,0034 hrs,3/7 0034 hrs,3/7 0100 hrs Warrant Arrest,,Cleared By Arrest
"",,,,,Blvd,
11-3681T,3/7,0238 hrs,3/7 0238 hrs,3/7 0255 hrs Criminal Damage,Hayden Library,Cleared By Arrest
"",,,,,University Center,
11-3686W,3/7,0854 hrs,3/3 1712 hrs,3/4 1500 hrs Threatening and Intimidating,,Pending
"",,,,,Building,
11-3691T,3/7,1009 hrs,3/5 0520 hrs,3/6 0800 hrs Theft,Manzanita Hall,Pending
11-3694T,3/7,1037 hrs,3/3 0800 hrs,3/3 1800 hrs Vehicle Burglary,Lot 59,Pending
11-3697T,3/7,1140 hrs,3/7 1140 hrs,3/7 1140 hrs Found Property,Memorial Union,Pending
11-3705T,3/7,1352 hrs,3/4 1140 hrs,3/7 1352 hrs Bike Theft,Agave Hall,Pending
11-3706T,3/7,1352 hrs,3/4 1700 hrs,3/7 0800 hrs Bike Theft,Agave Hall,Pending
11-3715T,3/7,1604 hrs,3/7 1535 hrs,3/7 1536 hrs Theft,Coor Building,Pending
11-3723T,3/7,1707 hrs,3/2 1300 hrs,3/7 1500 hrs Theft,Vista Del Sol,Pending
11-3732T,3/7,1934 hrs,3/7 1700 hrs,3/7 1800 hrs Bike Theft,Coor Building,Pending
"",,,,,Student Recreation,
11-3735T,3/7,2016 hrs,3/7 1930 hrs,3/7 2015 hrs Theft,,Pending
"",,,,,Center,
11-3748T,3/7,2351 hrs,3/7 2351 hrs,"3/8 0041 hrs Possession Drug Paraphernalia, Possession Marijuana",Parking Structure 5,Cleared By Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, March 08, 2011",,
