"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-7235T,05/01,1351 hrs,04/30 1700 hrs,04/30,1800 hrs,Theft of Personal Property,Memorial Union,Pending
10-7237T,05/01,1608 hrs,05/01 1608 hrs,05/01,1651 hrs,Trespassing,Best,Cleared By Arrest
10-7240T,05/01,1727 hrs,05/01 1727 hrs,05/01,2149 hrs,Warrant Arrest,Sky Harbor Airport,Cleared By Arrest
"",,,,,,,University Center,
10-7242W,05/01,1803 hrs,05/01 1803 hrs,05/01,1911 hrs,Criminal Damage,,Pending
"",,,,,,,Building,
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-7259T,5/2,0026 hrs,5/2 0026 hrs,5/2,0103 hrs,Criminal Nuisance,Vista Del Sol,Cleared By Arrest
10-7272T,5/2,0231 hrs,5/2 0231 hrs,5/2,0242 hrs,Under 21 with Alcohol in Body,Vista Del Sol,Cleared By Arrest
10-7275T,5/2,0206 hrs,5/2 0206 hrs,5/2,0245 hrs,Under 21 with Alcohol in Body,Manzanita,Cleared By Arrest
10-7285T,5/2,1137 hrs,4/30 1700 hrs,5/2,1135 hrs,Burglary from vehicle,Parking Structure 5,Pending
"",,,,,,,E University Dr / S,
10-7287T,5/2,1439 hrs,5/2 1439 hrs,5/2,1439 hrs,Unlawful Flight / Reckless Driving,,Pending
"",,,,,,,McAllister,
10-7290T,5/2,1554 hrs,5/2 1550 hrs,5/2,1554 hrs,Threatening,Cronkite,Pending
"",,,,,,,Engineering Research,
10-7291T,5/2,1606 hrs,5/2 1606 hrs,5/2,1606 hrs,Found Bicycle,,Pending
"",,,,,,,Center,
10-7303T,5/2,2214 hrs,4/11 2000 hrs,5/2,2145 hrs,Burglary,615 S Alpha Dr,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-7309T,5/3,0048 hrs,5/3 0030 hrs,5/3,0048 hrs,Assault / Disorderly Conduct,Vista Del Sol,Cleared By Arrest
