"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, May 01, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-7170T,5/1,0947 hrs,5/1 0947 hrs,5/1 0947 hrs Minor With Alcohol,Vista Del So East,Cleared By Arrest
11-7174T,5/1,0112 hrs,5/1 0112 hrs,5/1 0112 hrs Minor With Alcohol,S McAllister Ave/ E,Cleared By Arrest
"",,,,,Apache Blvd,
11-7177T,5/1,0152 hrs,5/1 0152 hrs,5/1 0152 hrs Minor With Alcohol,Well Fargo Arena,Cleared By Arrest
11-7178T,5/1,0228 hrs,5/1 0228 hrs,5/1 0228 hrs Minor With Alcohol,Vista Del Sol  Parking,Cleared By Arrest
11-7184T,5/1,0427 hrs,5/1 0427 hrs,"5/1 0427 hrs Assault, Minor with Alcohol",Parking Structure 4,Cleared By Arrest
11-7188T,5/1,0637 hrs,5/1 0637 hrs,"5/1 0637 hrs Assault, Domestic Violence",Sage South,Cleared By Arrest
11-7197T,5/1,1410 hrs,5/1 1310 hrs,5/1 1410 hrs Theft,Vista Del Sol  Parking,Pending
11-7201T,5/1,1557 hrs,4/29 0200 hrs,4/29 0500 hrs Aggravated Assault,Towers,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, May 02, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-7221T,5/2,0030 hrs,5/2 0030 hrs,5/2 0100 hrs Possession of Drug Paraphernalia,Vista Del Sol,Cleared By Arrest
11-7225T,5/2,0218 hrs,5/2 0218 hrs,5/2 0223 hrs DUI,Adelphi Commons,Cleared By Arrest
11-7227T,5/2,0406 hrs,5/2 0420 hrs,5/2 0420 hrs Property Impound,Salvage,Closed
11-7253T,5/2,1357 hrs,5/2 1255 hrs,5/2 1350 hrs Theft,Lattie Coor Hall,Pending
"",,,,,Center for Family,
11-7256T,5/2,1303 hrs,4/29 1400 hrs,4/29 1730 hrs Theft,,Pending
"",,,,,Studies,
"",,,,,Center for Family,
11-7257T,5/2,1303 hrs,4/27 1300 hrs,4/27 1730 hrs Theft,,Pending
"",,,,,Studies,
11-7259T,5/2,1640 hrs,5/2 1200 hrs,5/2 1205 hrs Theft,Memorial Union,Pending
11-7270T,5/2,2030 hrs,5/2 2030 hrs,5/2 2030 hrs Vehicle Burglary,Lot 16,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, May 03, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-7289T,5/3,0916 hrs,5/3 0915 hrs,5/3 0915 hrs Warrant Arrest / Driving on Suspended License,S. Rural Rd. / E. 6th St.,Cleared By Arrest
"",,,,,Student Services,
11-7312T,5/3,1638 hrs,5/3 1638 hrs,5/3 1640 hrs Disorderly Conduct,,Cleared By Arrest
"",,,,,Building,
11-7313T,5/3,1656 hrs,5/2 1800 hrs,5/3 1620 hrs Theft,Willow Hall,Pending
11-7314T,5/3,1654 hrs,5/3 1654 hrs,5/3 1654 hrs Minor in Consumption of Alcohol,SRC Field,Cleared By Arrest
11-7318T,5/3,1927 hrs,5/3 1927 hrs,5/3 1931 hrs Minor in Consumption of Alcohol,SRC Field,Cleared By Arrest
11-7327T,5/3,2159 hrs,5/3 2159 hrs,5/3 2159 hrs Fight,Vista Del Sol,Pending
11-7331T,5/3,2231 hrs,5/3 2135 hrs,5/3 2150 hrs Criminal Damage,Memorial Union,Pending
11-7333T,5/3,2225 hrs,5/3 2145 hrs,5/3 2150 hrs Theft,SRC Field,Pending
11-7336T,5/3,2347 hrs,5/3 2335 hrs,5/3 2335 hrs Criminal Damage / Minor in Consumption of Alcohol,615 S. Alpha Dr.,Cleared By Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, May 04, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-7339T,5/4,0028 hrs,5/3 0800 hrs,5/4 0015 hrs Criminal Damage,Parking Structure 5,Pending
11-7341T,5/4,0051 hrs,5/3 0800 hrs,5/4 0000 hrs Criminal Damage,Life Sciences,Pending
"",,,,"Obstructing a Highway or Other Public Thoroughfare,",E. Apache Blvd. / Paseo,
11-7342T,5/4,0056 hrs,5/4 0050 hrs,5/4 0056 hrs,,Pending
"",,,,Failure to Obey a Traffic Control Device,Del Saber,
11-7346T,5/4,0208 hrs,5/4 0208 hrs,5/4 0229 hrs Minor in Consumption of Alcohol,Manzanita,Cleared By Arrest
11-7351T,5/4,0255 hrs,5/4 0230 hrs,5/4 0230 hrs Aggravated Assault / Disorderly Conduct,700 E. Alpha Dr.,Pending
11-7355T,5/4,0405 hrs,5/3 0800 hrs,5/4 0400 hrs Criminal Damage,Wells Fargo Arena,Pending
11-7356T,5/4,0706 hrs,5/4 0706 hrs,5/4 0706 hrs Property Impound-Safekeeping,Music East,Closed
11-7357T,5/4,0734 hrs,5/3 0700 hrs,5/4 0735 hrs Criminal Damage,Parking Lot 20,Pending
11-7358T,5/4,0737 hrs,5/3 1400 hrs,5/4 0430 hrs Criminal Damage,Karsten Golf Course,Pending
11-7364T,5/4,1110 hrs,5/2 1600 hrs,5/2 1800 hrs Theft,Best Hall,Pending
11-7365T,5/4,1119 hrs,5/3 1945 hrs,5/3 2025 hrs Assault,Engineering Annex,Pending
11-7372T,5/4,1419 hrs,5/3 2200 hrs,5/4 1230 hrs Criminal Damage,Lot 58,Pending
11-7381T,5/4,1643 hrs,5/3 2100 hrs,5/3 2115 hrs Theft,SRC Field,Pending
11-7384T,5/4,1717 hrs,5/4 1230 hrs,5/4 1700 hrs Bicycle Theft,Business Administration,Pending
11-7387T,5/4,1727 hrs,5/4 1727 hrs,5/4 1727 hrs Welfare Check,699 S. Mill Ave,Closed
11-7398P,5/4,2204 hrs,5/4 2202 hrs,5/4 2301 hrs Disorderly Conduct / Domestic Violence,6930 E. Unger Ave.,Cleared By Arrest
"",,,,"Robbery, Possession or Use of Marijuana, Possession or",,
"",,,,"Use of Narcotic Drug, Possession or Use of Weapon in",,
"",,,,"Drug Offense, Possession or Use of Drug Paraphernalia,",,
11-7400T,5/4,2229 hrs,5/4 2229 hrs,5/4 2344 hrs,Memorial Union,Pending
"",,,,"Possession or Use of Dangerous Drug, 2nd Degree",,
"",,,,"Criminal Trespass, Driving with a Suspended,",,
"",,,,"Cancelled, or Revoked License",,
11-7403W,5/4,2322 hrs,5/4 1630 hrs,5/4 2315 hrs Bicycle Theft,Fletcher Library,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, May 05, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-7426T,5/5,1208 hrs,5/5 1045 hrs,5/5 1145 hrs Bicycle Theft,Hassayampa Phase 2,Pending
"",,,,"DUI, DUI w/Blood Alcohol Above 0.08, DUI w/Blood",S. McAllister Ave / E.,
11-7461T,5/5,2349 hrs,5/5 2349 hrs,5/6 0012 hrs,,Cleared By Arrest
"",,,,"Alcohol Above 0.15, DUI w/Blood Alcohol Above 0.20",Tyler St.,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, May 06, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-7465T,5/6,0141 hrs,5/6 0142 hrs,5/6 0142 hrs Disorderly Conduct,Parking Lot 16,Closed
"",,,,"Criminal Damage, Possession of Drug Paraphernalia,",,
11-7474T,5/6,0600 hrs,5/6 0600 hrs,5/6 0621 hrs,Ocotillo Hall,Cleared By Arrest
"",,,,Under 21 with Alcohol in Body,,
"",,,,,Physical Sciences A,
11-7482T,5/6,0946 hrs,5/6 0730 hrs,5/6 0915 hrs Bicycle Theft,,Unfounded
"",,,,,wing,
11-7493T,5/6,1322 hrs,4/28 0306 hrs,5/4 0130 hrs Criminal Damage,Hassayamapa Phase 1,Pending
11-7494T,5/6,1400 hrs,5/5 1900 hrs,5/6 1330 hrs Bicycle Theft,University Towers,Pending
11-7515T,5/6,2156 hrs,5/6 2156 hrs,5/6 2209 hrs Under 21 with Alcohol in Body,Fulton Parking Structure,Cleared By Arrest
11-7532T,5/6,2336 hrs,5/6 2336 hrs,5/6 2346 hrs Under 21 in Possession of Alcohol,Hassayamapa Phase 2,Cleared By Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, May 07, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,E. Spence Ave / S.,
11-7542T,5/7,0050 hrs,5/7 0050 hrs,5/7 0055 hrs Minor in Consumption of Alcohol,,Cleared By Arrest
"",,,,,Rural Rd,
11-7544T,5/7,0100 hrs,5/7 0100 hrs,5/7 0101 hrs Minor in Possession of Alcohol,Spence Ave / Rural Rd,Cleared By Arrest
"",,,,,S. Rural Rd / E Apache,
11-7547T,5/7,0106 hrs,5/7 0106 hrs,5/7 0114 hrs Minor in Consumption of Alcohol,,Cleared By Arrest
"",,,,,Blvd,
"",,,,"Furnishing Alcohol to Underage Person, Minor in",,
"",,,,"Possession of Alcohol, Public Consumption of Alcohol,",,
11-7550T,5/7,0151 hrs,5/7 0151 hrs,5/7 0210 hrs,Lot 16,Cleared By Arrest
"",,,,"False Reporting to Law Enforcement, Failure to Provide",,
"",,,,Truthful Name,,
"",,,,,S. McAllister Ave / E.,
11-7552T,5/7,0154 hrs,5/7 0154 hrs,5/7 0210 hrs Driving on Suspended License,,Cleared By Arrest
"",,,,,Apache Blvd,
11-7562D,5/7,0641 hrs,5/7 0641 hrs,5/7 0641 hrs Property Impounded for Destruction,120 E. Taylor Place,Closed
11-7582W,5/7,1332 hrs,5/6 2200 hrs,5/7 1130 hrs Criminal Damage,Sands Building,Pending
"",,,,"Minor in Possession of Alcohol, Misrepresenting Age to",,
11-7603T,5/7,2130 hrs,5/7 2130 hrs,5/7 2140 hrs,Vista Del Sol,Cleared By Arrest
"",,,,Obtain Alcohol,,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, May 08, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,E Apache Blvd / S,
