"",,,,,,Police Log,,
"",,,,,,Arizona State University Police Department,,
"",,,,,,"Tuesday, May 01, 2012",,
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
12-8377D,5/1,0051 hrs,4/30,1800 hrs,5/1,0045 hrs Burglary Vehicle,N 1ST/ E Polk,Pending
12-8388T,5/1,0808 hrs,4/29,0745 hrs,5/1,0230 hrs Burglary Vehicle,Parking Structure 2,Pending
12-8389T,5/1,0830 hrs,5/1,0815 hrs,5/1,0820 hrs Theft,Payne Hall,Pending
"",,,,,,,School Of human,
12-8392T,5/1,0837 hrs,5/1,0835 hrs,5/1,1113 hrs Harassment Stalking,,Pending
"",,,,,,,Evolution And Change,
12-8401T,5/1,1038 hrs,4/20,1200 hrs,4/27,1200 hrs Theft,Sun Devil Stadium,Pending
12-8403T,5/1,1046 hrs,4/26,1150 hrs,4/26,1300 hrs Bike Theft,San Pablo Hall,Pending
12-8404T,5/1,1059 hrs,4/13,1200 hrs,4/20,1200 hrs Bike Theft,Palo Verde East,Pending
12-8407T,5/1,1111 hrs,4/30,1200 hrs,4/30,1300 hrs Theft,Memorial Union,Pending
12-8410T,5/1,1837 hrs,11/1,0000 hrs,12/1,0000 hrs Bike Theft,Palo Verde East,Pending
12-8424T,5/1,1522 hrs,5/1,0645 hrs,5/1,1330 hrs Theft,Vista Del Sol,Pending
12-8427T,5/1,1616 hrs,2/18,1400 hrs,4/27,1600 hrs Bike Theft,Hassayampa Phase 1,Pending
12-8429T,5/1,1631 hrs,5/1,0915 hrs,5/1,1047 hrs Theft,Psychology South,Pending
12-8435T,5/1,1837 hrs,10/10,1200 hrs,10/11,0700 hrs Bike Theft,Palo Verde East,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Criminal Trespass, Minor With Alcohol In Body, Minor",,
12-8478T,5/2,0223 hrs,5/2,0223 hrs,5/2,0223 hrs,,Parking Lot 72,Cleared By Arrest
"",,,,,,,In Possession Of Alcohol,,
12-8501T,5/2,1032 hrs,4/26,0700 hrs,4/26,0940 hrs,Bike Theft,Agave Hall,Pending
12-8506T,5/2,1121 hrs,4/4,1745 hrs,5/2,1000 hrs,Stalking,Parking Lot 59,Clear Exceptional
"",,,,,,,,Business Administration,
12-8521T,5/2,1345 hrs,4/15,1600 hrs,4/15,1605 hrs,Harassment,,Pending
"",,,,,,,,C,
12-8529P,5/2,1800 hrs,5/2,1800 hrs,5/2,1800 hrs,Criminal Damage,Mustang Hall,Cleared By Arrest
12-8540T,5/2,2020 hrs,5/2,1540 hrs,5/2,2015 hrs,Bike Theft,Vista Del So,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Theft, Possession Of Marijuana, Possession Of Drug",Hassayampa Academic,
12-8562T,5/3,0023 hrs,5/3,0023 hrs,5/3,0023 hrs,,,Pending
"",,,,,,,Paraphernalia,Village,
12-8568T,5/3,0202 hrs,5/3,0202 hrs,5/3,0202 hrs,Possession Of Drug Paraphernalia,San Palo,Cleared By Arrest
"",,,,,,,,Student Recreation,
12-8611T,5/3,1352 hrs,5/3,1300 hrs,5/3,1335 hrs,Bike Theft,,Pending
"",,,,,,,,Complex,
"",,,,,,,,Fulton Parking,
