"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-17550T,11/01,0221 hrs,40483 0221 hrs,11/01,0227 hrs,Criminal Nuisance,Parking Lot 16,Cleared By Arrest
10-17558T,11/01,0751 hrs,40481 1700 hrs,11/01,0751 hrs,Criminal Damage,GIOS,Pending
10-17559T,11/01,0815 hrs,40481 1200 hrs,11/01,0815 hrs,Criminal Damage,Music E,Pending
"",,,,,,,7199 E Williams,
10-17560E,11/01,0834 hrs,40483 0834 hrs,11/01,0909 hrs,Driving on Suspended License,,Cleared By Arrest
"",,,,,,,Campus Loop North,
10-17563T,11/01,0902 hrs,40480 1430 hrs,11/01,0902 hrs,Bicycle Theft,Parking Structure 4,Pending
10-17565T,11/01,0946 hrs,40483 0946 hrs,11/01,1009 hrs,Theft,Hayden Library,Pending
10-17567T,11/01,1026 hrs,40483 1026 hrs,11/01,1137 hrs,Found Bicycle,San Pablo,Pending
10-17571T,11/01,1049 hrs,40483 0845 hrs,11/01,1049 hrs,Burglary,Vista Del Sol,Pending
10-17575T,11/01,1149 hrs,40483 1149 hrs,11/01,1233 hrs,Suspicious Person Activity,Noble Library,Cleared Exceptionally
10-17580T,11/01,1301 hrs,40482 2100 hrs,11/01,1301 hrs,Property Impound,Taylor Place,Closed
10-17583T,11/01,1358 hrs,40483 1358 hrs,11/01,1452 hrs,Property Impound,325 E Apache Blvd,Closed
10-17588T,11/01,1607 hrs,40483 1607 hrs,11/01,1634 hrs,Trespassing,Memorial Union,Cleared By Arrest
10-17589T,11/01,1601 hrs,40476 0000 hrs,11/01,1601 hrs,Bicycle Theft,Lot 59,Pending
10-17605T,11/01,2058 hrs,40483 2038 hrs,11/01,2058 hrs,Theft,Student Recreation,Pending
10-17607T,11/01,2134 hrs,40483 2139 hrs,11/01,2139 hrs,Driving on Suspended License,CS eMntceCr lintock Dr / E,Cleared By Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-17619D,11/02,0030 hrs,10/28 1100 hrs,11/01,2330 hrs,Theft,Taylor Place,Pending
