"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, November 01, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-20314T,11/1,0221 hrs,10/31 2315 hrs,11/1 0220 hrs Burglary Vehicle,Parking Lot 16,Pending
11-20317T,11/1,0323 hrs,11/1 0323 hrs,11/1 0323 hrs Minor With Alcohol In Body,Adelphi 2,Cleared By Arrest
11-20319T,11/1,0521 hrs,10/31 1500 hrs,11/1 0510 hrs Criminal Damage,University Services,Pending
"",,,,,Building,
11-20323T,11/1,0807 hrs,11/1 0001 hrs,11/1 0830 hrs Criminal Damage,Hassayampa Phase 2,Pending
11-20325T,11/1,0845 hrs,11/1 0845 hrs,11/1 0845 hrs Theft,Fulton Parking Structure,Pending
11-20344T,11/1,1448 hrs,11/1 1215 hrs,11/1 1220 hrs Theft,Life Sciences C,Pending
11-20351P,11/1,1634 hrs,10/30 0000 hrs,11/1 1634 hrs Theft,Falcon Hall,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, November 02, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,Unkno,Unkno,,
11-20406T,11/2,1112 hrs,,Sexual Assault,Vista del Sol,Pending
"",,,wn,wn,,
11-20407T,11/2,1107 hrs,10/30 0000 hrs,11/1 2349 hrs Theft,Lot 59,Pending
11-20419T,11/2,1407 hrs,11/2 1030 hrs,11/2 1145 hrs Theft,Memorial Union,Pending
11-20427T,11/2,1533 hrs,11/2 1533 hrs,11/2 1612 hrs Possession of Drug Paraphernalia,Cholla,Cleared by Arrest
11-20464T,11/2,2257 hrs,11/2 2257 hrs,11/3 0509 hrs Minor with Alcohol in Body,Palo Verde West,Cleared by Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, November 03, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-20483D,11/3,0904 hrs,11/2 1720 hrs,11/2 2200 hrs Theft,University Center,Pending
"",,,,,Urban Systems,
11-20486T,11/3,0946 hrs,8/15 1800 hrs,8/30 0800 hrs Theft,,Pending
"",,,,,Engineering,
11-20488T,11/3,0947 hrs,11/2 1240 hrs,11/2 1830 hrs Theft,Lattie Coor Hall,Pending
11-20493T,11/3,1022 hrs,10/1 0000 hrs,10/30 0000 hrs Theft,Life Science E,Pending
"",,,,,Language And,
11-20494T,11/3,1008 hrs,11/2 1845 hrs,11/2 1900 hrs Theft,,Pending
"",,,,,Literature,
11-20498T,11/3,1124 hrs,10/6 1200 hrs,10/10 1200 hrs Bike Theft,Parking Structure 7,Pending
11-20503T,11/3,1210 hrs,11/2 1800 hrs,11/3 1215 hrs Theft,Parking Structure 2,Pending
"",,,,,Student Recreation,
11-20505T,11/3,1234 hrs,10/27 1200 hrs,11/1 1200 hrs Criminal Damage,,Pending
"",,,,,Complex,
11-20507T,11/3,1235 hrs,11/1 2200 hrs,11/2 2200 hrs Bike Theft,Physical Science A,Pending
11-20515T,11/3,1525 hrs,10/26 2300 hrs,10/27 0900 hrs Bike Theft,Parking Structure 7,Pending
11-20516T,11/3,1545 hrs,11/2 1800 hrs,11/3 0800 hrs Bike Theft,Barrett Hall,Pending
11-20531T,11/3,2056 hrs,11/3 1400 hrs,11/3 2025 hrs Bike Theft,Memorial Union,Pending
"",,,,"Possession of Marijuana, Possession of Drug",,
11-20532T,11/3,2110 hrs,11/3 2110 hrs,11/3 2110 hrs,San Pablo,Pending
"",,,,Paraphernalia,,
"",,,,Aggravated Assault With Deadly Weapon or Dangerous,,
11-20536W,11/3,2153 hrs,11/3 2153 hrs,"11/3 2153 hrs Instrument, Drive-By Shooting, Disorderly Conduct-",Las Casas,Pending
"",,,,"Reckless handling, Display, or Discharge",,
"",,,,"Possession of Marijuana, Possession of Drug",,
11-20537D,11/3,2200 hrs,11/3 2200 hrs,11/3 2200 hrs,Taylor Place,Pending
"",,,,Paraphernalia,,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, November 04, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,Classroom/Computer,
11-20559W,11/4,0954 hrs,10/7 1730 hrs,10/18 0800 hrs Theft,,Pending
"",,,,,Lab,
"",,,,,Physical Science F-,
11-20572T,11/4,1315 hrs,11/1 1500 hrs,11/4 1335 hrs Theft,,Pending
"",,,,,Wing,
11-20576T,11/4,1412 hrs,11/2 1515 hrs,11/2 1700 hrs Theft,College of Design North,Pending
11-20581D,11/4,1548 hrs,11/4 1000 hrs,11/4 1400 hrs Theft,Ucent,Pending
11-20583T,11/4,1541 hrs,11/1 0830 hrs,11/1 1230 hrs Bike Theft,Hayden,Pending
11-20586T,11/4,1618 hrs,11/4 1350 hrs,11/4 1410 hrs Theft,Memorial Union,Pending
11-20599T,11/4,1925 hrs,11/4 1910 hrs,11/4 1915 hrs Theft,Memorial Union,Pending
"",,,,"Possession of Marijuana, Possession of Drug",,
11-20606T,11/4,2255 hrs,11/4 2255 hrs,11/4 2310 hrs,Sonora,Pending
"",,,,Paraphernalia,,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, November 05, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-20613P,11/5,0057 hrs,11/5 0035 hrs,11/5 0045 hrs 2nd Degree Burglary,Sterling Hall,Pending
"",,,,,Physical Sciences E-,
11-20614T,11/5,0059 hrs,11/5 0050 hrs,"11/5 0105 hrs Accident, No Injuries",,Pending
"",,,,,Wing,
"",,,,"Theft of Means of Transportation, DUI-Alcohol, Drug,",,
"",,,,"Vapor or Combination Thereof, Unlawful to Consume",,
11-20623T,11/5,0535 hrs,11/5 0530 hrs,"11/5 1134 hrs Liquor while Driving, Underage Drinking and Driving,",Parking Lot 16,Pending
"",,,,"Criminal Damage, Minor in Consumption of Alcohol,",,
"",,,,Recovery of Stolen Vehicle,,
11-20642T,11/5,1512 hrs,11/2 2000 hrs,11/2 2300 hrs 2nd Degree Burglary,McClintock Hall,Pending
11-20650T,11/5,1923 hrs,11/5 1923 hrs,11/5 1937 hrs Minor in Consumption of Alcohol,Vista Del Sol,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, November 06, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-20669T,11/6,0054 hrs,11/6 0054 hrs,11/6 0054 hrs Under 21 With Alcohol In The Body,Vista Del So,Cleared By Arrest
11-20670W,11/6,0107 hrs,11/6 0105hrs,11/6 0107 hrs Accident With Injury,Las Casa Parking Lot,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, November 07, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-20699T,11/7,0012 hrs,11/7 0012 hrs,"11/7 0619 hrs Driving on a Suspended License, Warrant Arrest",E. 7th St. / S. Mill Ave.,Cleared by Arrest
"",,,,"Bicycle Theft, Failure to Comply with Order from",LDS Church Parking,
11-20704T,11/7,0252 hrs,11/7 0252 hrs,11/7 0257 hrs,,Pending
"",,,,Police Officer,Lot,
11-20722T,11/7,0943 hrs,11/3 1600 hrs,11/3 1800 hrs Bicycle Theft,Hayden Hall West,Pending
11-20727T,11/7,1142 hrs,11/7 1142 hrs,11/7 1219 hrs Criminal Damage,Cholla Apartments,Pending
11-20751T,11/7,2005 hrs,11/7 1950 hrs,11/7 2000 hrs Theft,Noble Library,Pending
11-20756T,11/7,2043 hrs,11/7 1715 hrs,11/7 2030 hrs Bicycle Theft,Payne Hall,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, November 08, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-20776T,11/8,0146 hrs,11/7 2230 hrs,11/7 2300 hrs Theft,Sonora Center,Pending
11-20779T,11/8,0405 hrs,11/6 1500 hrs,"11/8 0405 hrs 3rd Degree Vehicle Burglary, Criminal Damage, Theft",Parking Structure 5,Pending
11-20780T,11/8,0456 hrs,11/8 0445 hrs,"11/8 2136 hrs 3rd Degree Vehicle Burglary, Criminal Damage, Theft",Parking Structure 5,Pending
"",,,,,Business Administration,
11-20788T,11/8,1010 hrs,10/28 1700 hrs,10/29 0700 hrs Criminal Damage,,Pending
"",,,,,Building-C Wing,
11-20791T,11/8,1045 hrs,11/3 1200 hrs,11/3 1230 hrs Theft,Computing Commons,Pending
11-20792T,11/8,1054 hrs,11/8 1054 hrs,11/8 1230 hrs Property Impound for Safekeeping,ASU Police Department,Pending
11-20797T,11/8,1233 hrs,11/7 1430 hrs,11/8 1235 hrs 3rd Degree Vehicle Burglary,Parking Structure 7,Pending
11-20811T,11/8,1517 hrs,11/6 1200 hrs,11/8 1100 hrs Bicycle Theft,Sonora Center,Pending
11-20826T,11/8,1859 hrs,11/8 1859 hrs,11/8 1923 hrs Bicycle Theft,Memorial Union,Pending
"",,,,,E. Apache Blvd. / S.,
11-20849T,11/8,2310 hrs,11/8 2310 hrs,11/8 2310 hrs Driving with Mandatory Insurance Suspended Plates,,Cleared by Arrest
"",,,,,Rural Rd.,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, November 09, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-20856T,11/9,0027 hrs,11/7 1000 hrs,"11/8 2100 hrs 3rd Degree Vehicle Burglary, Theft, Criminal Damage",Parking Structure 7,Pending
"",,,,"Driving on a Suspended License, Possession of Drug",,
"",,,,,E. Terrace Rd. / S.,
11-20863T,11/9,0401 hrs,11/9 0401 hrs,"11/9 0653 hrs Paraphernalia, Warrant Arrest, No Mandatory",,Pending
"",,,,,Rural Rd.,
"",,,,"Insurance, Property Impounded for Safekeeping",,
11-20876T,11/9,0924 hrs,11/7 1030 hrs,11/8 1900 hrs Criminal Damage,Parking Structure 7,Pending
11-20878T,11/9,0929 hrs,11/9 0929 hrs,11/9 1007 hrs Theft,Parking Lot 40,Pending
