"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Friday, November 01, 2013",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
13-78995T,11/1,0010 hrs,11/1,0010 hrs,11/1 0032 hrs Minor with Alcohol in Body,Hassayampa Phase 2,Cleared by Arrest
13-79010T,11/1,0040 hrs,11/1,0040 hrs,11/1 0104 hrs Minor with Alcohol in Body,Agave Hall,Cleared by Arrest
"",,,,,,Fulton Parking,
13-79037T,11/1,0146 hrs,11/1,0146 hrs,11/1 0154 hrs Minor with Alcohol in Body,,Cleared by Arrest
"",,,,,,Structure,
"",,,,,,S Rural Rd / E Apache,
13-79039T,11/1,0200 hrs,11/1,0200 hrs,11/1 0215 hrs Minor with Alcohol in Body,,Cleared by Arrest
"",,,,,,Blvd,
"",,,,,,S McAllister Ave / E,
13-79041T,11/1,0203 hrs,11/1,0203 hrs,11/1 0230 hrs Minor with Alcohol in Body,,Cleared by Arrest
"",,,,,,Tyler St,
"",,,,,"Possession of Marijuana, Posession of Drug",,
13-79053T,11/1,0241 hrs,11/1,0241 hrs,11/1 0241 hrs,Vista del Sol,Pending
"",,,,,Paraphernalia,,
13-79067T,11/1,0323 hrs,11/1,0323 hrs,11/1 0340 hrs Illegal Possession of Prescription Drugs,Lot 16,Cleared by Arrest
13-69069T,11/1,0332 hrs,11/1,0332 hrs,11/1 0332 hrs Minor with Alcohol in Body,Lot 16,Cleared by Arrest
"",,,,,,S College Ave / E,
13-79074T,11/1,0414 hrs,11/1,0414 hrs,11/1 0421 hrs Minor with Alcohol in Body,,Cleared by Arrest
"",,,,,,Apache Blvd,
13-79079T,11/1,0528 hrs,11/1,0100 hrs,11/1 0528 hrs Criminal Damage,Schwada,Pending
13-79132T,11/1,1219 hrs,10/29,1620 hrs,10/29 1715 hrs Vehicle Burglary,Parking Structure 1,Pending
"",,,,,,Student Services,
13-79161T,11/1,1505 hrs,11/1,1145 hrs,11/1 1445 hrs Bike Theft,,Pending
"",,,,,,Building,
"",,,,,"Possession of Marijuana, Posession of Drug",,
13-79162T,11/1,1510 hrs,11/1,1510 hrs,11/1 1530 hrs,Best,Cleared by Arrest
"",,,,,Paraphernalia,,
13-79167T,11/1,1531 hrs,11/1,1400 hrs,11/1 1430 hrs Bike Theft,Coor,Pending
13-79174T,11/1,1650 hrs,10/29,900,10/29 1100 hrs Theft,Fulton Center,Pending
13-79181T,11/1,1710 hrs,10/31,2230 hrs,11/1 0030 hrs Theft,McClintock Hall,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Aggravated Assault on a Police Officer, Aiming a Laser",,
"",,,,,,,,S Rural Rd / E Campus,
13-79295T,11/2,0212 hrs,11/2,0212 hrs,11/2,0236 hrs,"at a Police Officer, Assault, Disorderly Conduct, Minor",,Cleared by Arrest
"",,,,,,,,Dr,
"",,,,,,,with Alcohol in Body,,
13-79386T,11/2,1504 hrs,11/2,1504 hrs,11/2,1504 hrs,Disorderly Conduct,Hayden Library,Pending
"",,,,,,,,7200 Block N Texas,
13-79444P,11/2,1950 hrs,11/2,1545 hrs,11/2,1950 hrs,Bike Theft,,Pending
"",,,,,,,,Ave,
13-79489T,11/2,2202 hrs,11/2,2202 hrs,11/2,2235 hrs,Minor with Alcohol in Body,Lot 59,Cleared by Arrest
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
13-79514T,11/2,2306 hrs,11/2,2306 hrs,11/2,2320 hrs,,Hassayampa Phase 2,Cleared by Arrest
"",,,,,,,Paraphernalia,,
13-79520T,11/2,2340 hrs,11/2,2130 hrs,11/2,2330 hrs,Vehicle Theft,Vista del Sol,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Drug Paraphernalia, Minor Possession of",4700 Block W,
13-79539W,11/3,0109 hrs,11/3,0109 hrs,11/3,0330 hrs,,,Cleared by Arrest
"",,,,,,,Alcohol,University Way S,
13-79540T,11/3,0120 hrs,11/3,0120 hrs,11/3,0125 hrs,Minor with Alcohol in Body,Vista del Sol,Cleared by Arrest
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
13-79554T,11/3,0221 hrs,11/3,0221 hrs,11/3,0330 hrs,,Arboretum,Cleared by Arrest
"",,,,,,,Paraphernalia,,
"",,,,,,,,S College Ave / E,Other Agency
13-79597T,11/3,0955 hrs,11/3,0955 hrs,11/3,1100 hrs,Theft,,
"",,,,,,,,University Dr,Jurisdiction
13-79636T,11/3,1341 hrs,11/1,1630 hrs,11/2,1600 hrs,Fail to Notify on Striking Unattended Vehicle,Vista del Sol,Pending
13-79716T,11/3,2135 hrs,11/3,2045 hrs,11/3,2055 hrs,Theft,Memorial Union,Pending
"",,,,,,,"Aggravated DUI License Suspended, Fail to Stop on",,
