"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-15380T,9/30,2318 hrs,9/30 2318 hrs,10/1,0849 hrs,Under 21 with Alcohol in Body,Hassayampa,Cleared by Arrest
10-15385T,10/1,0048 hrs,10/1 0048 hrs,10/1,0120 hrs,Trespass,Sonora Center,Cleared by Arrest
10-15389T,10/1,0254 hrs,10/1 0254 hrs,10/1,0302 hrs,Public Urination,699 S Mill Ave,Cleared by Arrest
10-15391W,10/1,0725 hrs,9/30 1500 hrs,10/1,0600 hrs,Burglary,Parking Lot 3,Pending
10-15401T,10/1,1019 hrs,9/30 1800 hrs,9/30,1805 hrs,Bicycle Theft,University Towers,Pending
10-15406T,10/1,1121 hrs,9/17 1700 hrs,9/20,0845 hrs,Bicycle Theft,University Towers,Pending
10-15407T,10/1,1130 hrs,9/23 1530 hrs,9/24,1300 hrs,Theft of Personal Property,Coor Hall,Pending
10-15424T,10/1,1658 hrs,10/1 0100 hrs,10/1,noon,Burglary,Vista del Sol,Pending
10-15427T,10/1,1744 hrs,10/1 1100 hrs,10/1,1600 hrs,Theft of Personal Property,Student Health Services,Pending
10-15429T,10/1,1821 hrs,10/1 0030 hrs,10/1,0300 hrs,Sexual Assault,Hassayampa Phase I,Pending
"",,,,,,Under 21 with Alcohol in Body / Under 21 Possession,,
10-15438E,10/1,2310 hrs,10/1 2310 hrs,10/1,0034 hrs,,Eagle Hall,Cleared by Arrest
"",,,,,,of Alcohol,,
"",,,,,,Possession of Marijuana / Possession of Drug,,
10-15439T,10/1,2356 hrs,10/1 2356 hrs,10/1,0109 hrs,,Parking Structure 4,Cleared by Arrest
"",,,,,,Paraphernalia,,
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
"",,,,,,Possession of Marijuana / Possession of Drug,,
10-15441T,10/2,0023 hrs,10/2 0023 hrs,10/2,0103 hrs,,Parking Structure 4,Cleared by Arrest
"",,,,,,Paraphernalia,,
10-15442T,10/2,0050 hrs,10/2 0050 hrs,10/2,0117 hrs,Failure to Meet Financial Responsibility,E Apache/S Sunset,Cleared by Arrest
