"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, October 01, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-17923T,10/1,0118 hrs,10/1 0118 hrs,10/1 0354 hrs Minor in Consumption,Palo Verde West,Cleared by Arrest
11-17934T,10/1,0316 hrs,10/1 0300 hrs,10/1 0320 hrs Assault,Vista Del Sol,Cleared by Arrest
"",,,,,Engineering Research,
11-17956T,10/1,1422 hrs,10/1 1300 hrs,10/1 1345 hrs Bicycle Theft,,Pending
"",,,,,Center,
11-17976T,10/1,2030 hrs,10/1 2030 hrs,10/1 2030 hrs Disorderly Conduct,Sun Devil Stadium,Cleared by Arrest
11-17981T,10/1,2209 hrs,10/1 2209 hrs,10/1 2310 hrs Property Impounded for Safekeeping,Vista Del Sol,Closed
11-18158T,10/1,2026 hrs,10/1 2026 hrs,"10/1 2026 hrs Assault, Domestic Violence",Sun Devil Stadium,Cleared by Arrest
11-18160T,10/1,1930 hrs,10/1 1930 hrs,"10/1 1930 hrs Public Nuisance, Criminal Damage",Lot 59,Cleared by Arrest
11-18161T,10/1,1805 hrs,10/1 1805 hrs,10/1 1805 hrs Urinating in Public,Lot 59,Cleared by Arrest
11-18162T,10/1,2000 hrs,10/1 2000 hrs,10/1 2000 hrs Under 21 with Alcohol in Body,Sun Devil Stadium,Cleared by Arrest
11-18163T,10/1,1855 hrs,10/1 1855 hrs,10/1 1855 hrs Under 21 with Alcohol in Body,Lot 59,Cleared by Arrest
11-18164T,10/1,1900 hrs,10/1 1900 hrs,10/1 1900 hrs Under 21 with Alcohol in Body,Lot 59,Cleared by Arrest
11-18165T,10/1,1900 hrs,10/1 1900 hrs,10/1 1900 hrs Under 21 with Alcohol in Body,Lot 59,Cleared by Arrest
"",,,,"Under 21 Possession of Alcohol, Under 21 with Alcohol",,
11-18166T,10/1,1755 hrs,10/1 1755 hrs,10/1 1755 hrs,Lot 59,Cleared by Arrest
"",,,,in Body,,
11-18167T,10/1,1845 hrs,10/1 1845 hrs,10/1 1845 hrs Under 21 with Alcohol in Body,Lot 59,Cleared by Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, October 02, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,"D.U.I., D.U.I B.A.C of .08 or higher, Extreme D.U.I",,
11-18005T,10/2,0157 hrs,10/2 0200 hrs,"10/2 0210 hrs B.A.C of .15-, .20,",,Cleared By Arrest
11-18019T,10/2,1041 hrs,10/1 1930,10/1 2000 hrs Assault,Parking Lot 59,Pending
11-18023T,10/2,1301 hrs,10/2 1240 hrs,10/2 1243 hrs Vehicle Burglary,Parking Lot 3,Pending
11-18029 T,10/2,1632 hrs,10/2 1620 hrs,10/2 1640 hrs Theft,Hayden Library,Pending
"",,,,,University Center,
11-18038W,10/2,1946 hrs,10/2 1945 hrs,10/2 1945 hrs Burglary,,Cleared By Arrest
"",,,,,Building,
"",,,,"Vehicle Burglary, False Reporting, Felony Warrant,",,
11-18039T,10/2,1956 hrs,10/2 1956 hrs,10/2 1956 hrs,Fulton Parking Structure,Pending
"",,,,Misdemeanor Warrant,,
"",,,,"Vehicle Burglary, False Reporting, Felony Warrant,",,
11-18041T,10/2,2029 hrs,9/30 1500 hrs,10/2 2029 hrs,Parking Lot 59 North,Pending
"",,,,Misdemeanor Warrant,,
"",,,,"Vehicle Burglary, False Reporting, Felony Warrant,",,
11-18042T,10/2,2109 hrs,9/30 1420 hrs,10/2 2109 hrs,College Design North,Pending
"",,,,Misdemeanor Warrant,,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, October 03, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-18064T,10/3,0759 hrs,10/1 1930 hrs,"10/3 0600 hrs Criminal Damage, Theft",Parking Lot 59,Pending
11-18070T,10/3,0947 hrs,9/23 1700 hrs,10/3 0830 hrs Theft,Moeur Building,Pending
"",,,,,Language And,
11-18071T,10/3,1015 hrs,9/30 1900 hrs,10/3 1000 hrs Theft,,Pending
"",,,,,Literature,
"",,,,,Language And,
11-18078T,10/3,1131 hrs,9/29 1650 hrs,9/30 1630 hrs Theft,,Pending
"",,,,,Literature,
"",,,,,S Forest Ave/E,
11-18086T,10/3,1533 hrs,10/3 1533 hrs,"10/3 1533 hrs Accident, Non-injury",,Pending
"",,,,,Gammage Pky,
"",,,,,Business Administration,
11-18089T,10/3,1612 hrs,9/28 1600 hrs,10/3 1100 hrs Bike Theft,,Pending
"",,,,,C,
11-18105T,10/3,1951 hrs,10/3 1830 hrs,10/3 1945 hrs Bike Theft,Lattie Coor Hall,Pending
11-18107T,10/3,2003 hrs,9/29 1800 hrs,10/3 1800 hrs Bike Theft,Palo Verde Main,Pending
11-18109T,10/3,2024 hrs,10/3 2024 hrs,10/3 2024 hrs Marijuana,Cholla,Pending
"",,,,,Schwada Office,
11-18110T,10/3,2053 hrs,10/3 2045 hrs,10/3 2045 hrs Robbery,,Pending
"",,,,,Building,
11-18113T,10/3,2108 hrs,10/3 2100 hrs,10/3 2105 hrs Theft,Hayden Library,Pending
11-18117T,10/3,2154 hrs,10/3 2000 hrs,10/3 2130 hrs Burglary,Music West,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, October 04, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-18133T,10/4,0411 hrs,10/4 0410 hrs,10/4 0522 hrs Theft,Hassayampa Phase II,Pending
11-18143T,10/4,0838 hrs,10/3 1730 hrs,10/4 0745 hrs Theft,Language and Literature,Pending
"",,,,,Parking and Transit,
11-18153T,10/4,0936 hrs,10/1 1200 hrs,10/1 2130 hrs Forgery,,Pending
"",,,,,Services,
11-18155T,10/4,0959 hrs,10/4 0959 hrs,10/4 1022 hrs Possession of Drug Paraphernalia,Parking Structure 5,Cleared by Arrest
"",,,,,E. Rio Salado Pkwy / S.,
11-18156T,10/4,1001 hrs,10/4 1000 hrs,10/4 1016 hrs Criminal Speeding,,Cleared by Arrest
"",,,,,Mill Ave.,
11-18159P,10/4,1023 hrs,10/4 1023 hrs,10/4 1105 hrs Property Impounded for Destruction,Parking Lot 36,Closed
11-18170T,10/4,1143 hrs,10/3 1630 hrs,10/4 1130 hrs Bicycle Theft,Memorial Union,Pending
11-18180P,10/4,1500 hrs,10/4 1500 hrs,10/4 1502 hrs Lost Key,Simulator,Closed
"",,,,,E. Rio Salado Pkwy / S.,
11-18185T,10/4,1638 hrs,10/4 1638 hrs,10/4 1640 hrs Criminal Speeding,,Cleared by Arrest
"",,,,,Mill Ave.,
"",,,,,Student Recreation,
11-18197T,10/4,2034 hrs,10/4 2015 hrs,10/4 2040 hrs Theft,,Pending
"",,,,,Complex,
11-18205T,10/4,2154 hrs,10/4 2154 hrs,10/4 2221 hrs Possession of Drug Paraphernalia,Parking Structure 5,Cleared by Arrest
11-18210T,10/4,2220 hrs,10/4 2100 hrs,10/4 2200 hrs Criminal Damage,Education Lecture Hall,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, October 05, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,7000 Block of Vosler,
11-18231P,10/5,0834 hrs.,10/4 2230 hrs.,10/5 0745 hrs. Criminal Damage,,Pending
"",,,,,Circle,
11-18265P,10/5,1538 hrs.,10/5 1200 hrs,10/5 1530 hrs Bike Theft,Sutton Hall,Pending
11-18268T,10/5,1617 hrs.,10/5 000 hrs.,10/5 1711 hrs. Theft,Hayden Library,Pending
"",,,,,Business Administration,
11-18277T,10/5,1914 hrs.,10/5 0900 hrs.,10/5 1840 hrs. Theft,,Pending
"",,,,,C-Wing,
11-18279T,10/5,2003 hrs.,10/5 2000 hrs.,10/5 2000 hrs. Robbery,Schwada,Pending
11-18284T,10/5,2042 hrs.,10/5 2035 hrs.,10/5 2035 hrs. Theft,Hayden Library,Pending
"",,,,,Student Recreation,
11-18291T,10/5,2140 hrs.,10/5 2135 hrs.,10/5 2135 hrs. Assault,,Pending
"",,,,,Complex,
11-18295T,10/5,2156 hrs.,10/5 1900 hrs.,10/5 2145 hrs. Theft,Hayden Library,Pending
"",,,,,S McAllister Ave/ E,
11-18297T,10/5,2226 hrs.,10/5 2226 hrs.,10/5 2226 hrs. Warrant,,Cleared By Arrest
"",,,,,15th St,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, October 06, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,0053,"Possession of Dangerous Drugs, DUI, DUI Drugs, and",E University Dry/E,
11-18311T,10/6,0053 hrs.,0053 hrs.,10/6 0053 hrs.,,Cleared By Arrest
"",,,hrs.,"Open Container in Vehicle, Unlawful to Sell",Alpha Dry,
11-18335P,10/6,1101 hrs,10/5 2137 hrs.,10/5 2139 hrs. Criminal Nuisance,Simulator Building,Pending
11-18335P,10/6,1101 hrs,10/5 2137 hrs.,10/5 2139 hrs. Criminal Nuisance,Simulator Building,Pending
"",,,,,Language And,
11-18336T,10/6,1109 hrs,10/5 1815 hrs.,10/6 0930 hrs. Theft,,Pending
"",,,,,Literature,
11-18348T,10/6,1235 hrs,10/5 1235 hrs,10/6 1235 hrs Accident Non-Injury,Parking Lot 59,Pending
"",,,,,Student Service,
11-184353T,10/6,1315 hrs,10/5 1700 hrs,10/6 1315 hrs Theft,,Pending
"",,,,,Building,
11-18355 T,10/6,1328 hrs,10/2 0200 hrs,10/2 0215 hrs Theft,Vista Del So,Pending
11-18360T,10/6,1701 hrs,10/4 1600 hrs,10/5 2000hrs Bike Theft,Brickyard,Pending
11-18361T,10/6,1630 hrs,10/4 2000hrs,10/6 1000 hrs Bike Theft,Palo Verde Main,Pending
11-18367T,10/6,1747 hrs,10/6 1745 hrs,10/6 1745 hrs Theft,Hayden Library,Pending
"",,,,,Classroom Lab,
11-18369W,10/6,1813 hrs,10/6 0900 hrs,10/6 1730 hrs Bike Theft,,Pending
"",,,,,Computer,
11-18394T,10/6,2333 hrs,10/6 2333 hrs,10/6 2333 hrs Minor Under 21 With Alcohol In Body,Adelphi,Cleared By Arrest
"",,,,Police Log,
"",,,,Arizona State University Police Department,
"",,,,"Friday, October 07, 2011",
"",,,,Occurred,
"",Date,Time,,,
