"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Sunday, October 01, 2017",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
"",,,,,,Sun Devil Fitness,
17-77122T,10/1,0017 hrs,10/1,0017 hrs,10/1 0037 hrs Theft,,Pending
"",,,,,,Complex,
"",,,,,,E Broadway Rd/S Mill,
17-77137T,10/1,0126 hrs,10/1,0355 hrs,10/1 0355 hrs DUI,,Cleared By Arrest
"",,,,,,Ave,
17-77154T,10/1,0245 hrs,10/1,0245 hrs,10/1 0245 hrs Indecent Exposure,Fulton Structure,Cleared By Arrest
17-77156T,10/1,0305 hrs,10/1,0230 hrs,10/1 0230 hrs Minor with Alcohol in Body,Cottonwood Hall,Pending
"",,,,,Theft of Means of Transportation - Intent to,,
17-77206T,10/1,0950 hrs,9/30,2030 hrs,10/1 0930 hrs,Parking Structure 4,Pending
"",,,,,Permanently Deprive,,
"",,,,,,E University Dr/S,
17-77248T,10/1,1401 hrs,10/1,1401 hrs,10/1 1847 hrs Bicycle Theft,,Pending
"",,,,,,College Ave,
17-77256T,10/1,1505 hrs,10/1,1505 hrs,10/1 1506 hrs Criminal Damage,Murdock Hall,Pending
17-77257T,10/1,1511 hrs,10/1,1511 hrs,10/1 1523 hrs Criminal Damage,Parking Structure 1,Pending
17-77274T,10/1,1806 hrs,9/30,0300 hrs,9/30 1800 hrs Accident Hit & Run,Parking Structure 4,Pending
17-77319T,10/1,2141 hrs,9/30,1800 hrs,10/1 1400 hrs Accident Hit & Run,Parking structure 5,Pending
"",,,,,Aggravated Assault with Deadly Weapon or Dangerous,,
17-77322T,10/1,2144 hrs,9/10,0030 hrs,10/1 2144 hrs,Hassayampa B-Wing,Pending
"",,,,,Instrument,,
17-77337T,10/1,2242 hrs,10/1,2140 hrs,10/1 2150 hrs Theft,Sun Fitness Complex,Pending
17-80000215T,10/1,1557 hrs,9/18,0400 hrs,9/18 0600 hrs Theft,Century Hall,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,4000 Blk W,
17-77388W,10/2,0131 hrs,10/2,0131 hrs,10/2,0131 hrs,"DUI-Alcohol, Drug, Vapor, Combination Thereof",,Pending
"",,,,,,,,Thunderbird Rd,
17-77443D,10/2,0842 hrs,10/2,0842 hrs,10/2,0851 hrs,Criminal Trespass - 3rd Degree - Real Property,Health North,Cleared By Arrest
17-77486T,10/2,1300 hrs,10/2,1300 hrs,10/2,1230 hrs,Burglary - 3rd Degree - Non-Residential,Parking Structure 5,Pending
17-77503T,10/2,1406 hrs,10/2,1015 hrs,10/2,1400 hrs,Bicycle Theft,College Ave Commons,Pending
"",,,,,,,,Parking Structure West,
17-77552W,10/2,1821 hrs,10/2,1215 hrs,10/2,1630 hrs,Criminal Damage - Deface or Damage Property,,Pending
"",,,,,,,,Lot 1,
"",,,,,,,,Sun Devil Fitness,
17-77559T,10/2,1905 hrs,10/2,1800 hrs,10/2,1900 hrs,Bicycle Theft,,Pending
"",,,,,,,,Complex,
"",,,,,,,Driving with Suspended/Cancelled/Revoked License.,,
"",,,,,,,,E Lemon St/S Forest,
17-77602T,10/2,2056 hrs,10/2,2056 hrs,10/2,2201 hrs,Display of License Plates Suspended for Financial,,Cleared By Arrest
"",,,,,,,,Ave,
"",,,,,,,Responsibility,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-77776T,10/3,1101 hrs,10/3,1100 hrs,10/3,1105 hrs,Assault,University Center,Pending
"",,,,,,,,E Van Buren Rd/ N,
17-77838D,10/3,1502 hrs,10/3,1502 hrs,10/3,1502 hrs,Driving with a Suspended License,,Cleared By Arrest
"",,,,,,,,Central Ave,
17-77848T,10/3,1502 hrs,9/30,1630 hrs,10/2,1545 hrs,Vehicle Burglary,Parking Structure 5,Pending
