"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,,Thru,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-13218T,9/1,0354 hrs,9/1 0354 hrs,9/1,0404 hrs,Under 21 with Alcohol in the Body,Hassayampa Phase 1,Cleared By Arrest
10-13226T,9/1,0940 hrs,9/1 0940 hrs,9/1,1022 hrs,Burglary,Memorial Union,Pending
10-13230T,9/1,1108 hrs,8/31 1700 hrs,8/31,1800 hrs,Sexual Assault,Best Hall,Pending
10-13236T,9/1,1229 hrs,8/30 1800 hrs,9/1,1220 hrs,Stolen Bicycle,Hayden West,Pending
10-13239T,9/1,1238 hrs,8/24 0800 hrs,8/24,1700 hrs,Sexual Assault,Irish Hall,Pending
10-13243T,9/1,1345 hrs,9/1 0001 hrs,9/1,1345 hrs,Burglary,Hassayampa Phase 1,Pending
10-13247T,9/1,1456 hrs,8/31 0800 hrs,8/31,1000 hrs,Theft,UCENT,Pending
10-13250T,9/1,1559 hrs,8/31 2030 hrs,9/1,1559 hrs,Stolen Bicycle,Parking Structure 1,Pending
10-13254T,9/1,1636 hrs,9/1 1636 hrs,9/1,1636 hrs,Use of Force,Lemon/Terrace,Closed
10-13257T,9/1,1640 hrs,9/1 1640 hrs,9/1,1815 hrs,Theft of Services,325 E Apache Blvd,Cleared By Arrest
10-13265T,9/1,1754 hrs,8/28 2300 hrs,9/2,0353 hrs,Criminal Damage,Parking Structure VDS,Cleared By Arrest
10-13280T,9/1,2215 hrs,9/1 2242 hrs,9/1,2355 hrs,Possession of Marijuana/Drug Paraphernalia,Vista Del Sol,Cleared By Arrest
10-13281T,9/1,2228 hrs,9/1 2228 hrs,9/1,2310 hrs,Information,325 E Apache Blvd,Pending
10-13282T,9/1,2218 hrs,9/1 2218 hrs,9/1,2332 hrs,Information,325 E Apache Blvd,Pending
10-12386T,9/1,2321 hrs,9/1 2321 hrs,9/1,2343 hrs,Stolen Bicycle,Fulton Center,Pending
10-13290T,9/1,2354 hrs,9/1 2354 hrs,9/2,0324 hrs,Minor in Consumption,Palo Blanco,Cleared by Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,,Thru,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
