"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Sunday, September 01, 2013",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
"",,,,,,800 Block South Mill,
13-61693T,9/1,0012 hrs,9/1,0012 hrs,9/1 0012 hrs Public Nusanice,,Cleared By Arrest
"",,,,,,Ave,
"",,,,,"DUI, DUI-Super Extreme, DUI- Over .08 BAC, DUI-",,
13-61713T,9/1,0012 hrs,9/1,0012 hrs,9/1 0012 hrs,Parking lot 16,Cleared By Arrest
"",,,,,"Slightest Degree ,",,
"",,,,,"Possession of Marijuana, Possession of Drug",,
13-61720T,9/1,0037 hrs,9/1,0037 hrs,9/1 0037 hrs,Hassayampa Phase 1,Pending
"",,,,,Paraphernalia,,
13-61724T,9/1,0059 hrs,9/1,0059 hrs,9/1 0037 hrs Minor With Alcholol In Body,Hassayampa Phase 2,Cleared By Arrest
13-61726W,9/1,0117 hrs,9/1,0117 hrs,9/1 0117 hrs Minor With Alcholol In Body,Casa Del Oro,Cleared By Arrest
13-61731T,9/1,0131 hrs,9/1,0131 hrs,9/1 0131 hrs Minor With Alcholol In Body,Palo Verde West,Cleared By Arrest
"",,,,,,Sun Devil,
13-61744T,9/1,0213 hrs,9/1,0213 hrs,9/1 0213 hrs Public Nusanice,,Cleared By Arrest
"",,,,,,FitnenessComplex,
13-61745D,9/1,0209 hrs,8/29,1700 hrs,9/1 0140 hrs Bike Theft,University Center,Pending
"",,,,,,1500 Block of South,
13-61747T,9/1,0216 hrs,9/1,0216 hrs,"9/1 0216 hrs DUI- .08 BAC or Above, DUI- Slightest Degree",,Cleared By Arrest
"",,,,,,Mill Ave,
"",,,,,,S Milll Ave/ E,
13-61749T,9/1,0225 hrs,9/1,0225 hrs,9/1 0225 hrs Public Nusanice,,Cleared By Arrest
"",,,,,,University Dr,
13-61835D,9/1,1126 hrs,9/1,1122 hrs,"9/1 1126 hrs Threatening and Intimidating,Attempted Shoplifting",Taylor Place,Pending
"",,,,,"Possession of Marijuana, Possession of Drug",,
13-61837T,9/1,1138 hrs,9/1,1138 hrs,9/1 1138 hrs,Parking Structure 7,Pending
"",,,,,Paraphernalia,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
13-62024T,9/2,0019 hrs,9/1,1750 hrs,9/2,0015 hrs,Theft of Means Of Transportation,Parking Lot 20,Pending
13-62076T,9/2,0317 hrs,9/2,0317 hrs,9/2,0317 hrs,Minor With Alcohol In Body,Hassayampa,Cleared By Arrest
"",,,,,,,,E University Dr/ E,
13-62087T,9/2,0404 hrs,9/2,0404 hrs,9/2,0404 hrs,Minor With Alcohol In Body,,Cleared By Arrest
"",,,,,,,,Veterans Way,
13-62163T,9/2,1024 hrs,9/2,1024 hrs,9/2,1024 hrs,Attempted Bike Theft,Parking Structure 4,Cleared By Arrest
13-62259T,9/2,1902 hrs,9/2,1902 hrs,9/2,1902 hrs,Minor With Alcohol In Body,Manzanita Hall,Cleared By Arrest
"",,,,,,,,Sun Devil Fitness,
13-62263T,9/2,2012 hrs,9/2,1900 hrs,9/2,1930 hrs,Theft,,Pending
"",,,,,,,,Complex,
13-62300T,9/2,2153 hrs,9/2,2153 hrs,9/2,2153 hrs,"Disorderly Conduct, Littering",600 Block Of Mill Ave,Cleared By Arrest
"",,,,,,,,E Apache Blvd/ S,
13-62309T,9/2,2248 hrs,9/2,2248 hrs,9/2,2248 hrs,Theft,,Cleared By Arrest
"",,,,,,,,sunset Dr,
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
13-62344T,9/3,0050 hrs,9/3,0050 hrs,9/3,0050 hrs,Aiming Laser Pointer at Peace Officer,Mazanita Hall Cleared By Arrest
13-62405T,9/3,0821 hrs,8/30,1530 hrs,9/1,1800 hrs,Theft,Towers Pending
13-62442T,9/3,1017 hrs,9/3,1017 hrs,9/3,1023 hrs,Bike Theft,Parking Structure 7 Cleared By Arrest
"",,,,,,,,Interdisciplinary
13-62445T,9/3,1010 hrs,8/2,1200 hrs,8/2,1200 hrs,Criminal Damage,Science and Technology Pending
"",,,,,,,,Building I
13-62461T,9/3,1146 hrs,8/30,1400 hrs,9/2,2000 hrs,Bike Theft,Manzanita Hall Pending
